ImageID,Latitude,Longitude,OpenAI Score,Walkability Rating
image_3677,47.6048794,-122.3286935,1,Not at all walkable
image_3678,47.6184131,-122.3383281,8,Very walkable
image_3681,47.6113887,-122.3339126,7,Very walkable
image_3682,47.6204991,-122.347476,8,Very walkable
image_3684,47.5992134,-122.326532,5,Moderately walkable
image_3685,47.6231604,-122.3240078,8,Very walkable
image_3686,47.6076357,-122.3283135,5,Moderately walkable
image_3687,47.6099584,-122.3443523,1,Not at all walkable
image_3688,47.6018499,-122.330726,8,Very walkable
image_3689,47.6150686,-122.3372904,8,Very walkable
image_3690,47.6083207,-122.3286991,3,Slightly walkable
image_3691,47.6203203,-122.3538537,2,Not at all walkable
image_3692,47.6164957,-122.3283355,5,Moderately walkable
image_3693,47.6214936,-122.3431669,9,Extremely walkable
image_3694,47.6031482,-122.3349574,7,Very walkable
image_3695,47.6157679,-122.3455915,2,Not at all walkable
image_3696,47.6132958,-122.3483479,3,Slightly walkable
image_3697,47.6125614,-122.3223921,5,Moderately walkable
image_3698,47.5968549,-122.3257237,3,Slightly walkable
image_3699,47.6039889,-122.3296037,8,Very walkable
image_3700,47.6222065,-122.3579358,7,Very walkable
image_3701,47.6176626,-122.3209366,7,Very walkable
image_3702,47.6196311,-122.3244574,4,Moderately walkable
image_3704,47.6233782,-122.3579227,7,Very walkable
image_3705,47.602707,-122.3360521,8,Very walkable
image_3706,47.6192057,-122.3267044,2,Not at all walkable
image_3707,47.6092885,-122.3208102,7,Very walkable
image_3708,47.6198438,-122.352972,2,Not at all walkable
image_3709,47.6010602,-122.3327569,2,Not at all walkable
image_3710,47.612811,-122.342535,2,Not at all walkable
image_3711,47.6002075,-122.3246081,2,Not at all walkable
image_3712,47.6230514,-122.3224903,2,Not at all walkable
image_3714,47.5992344,-122.3362864,1,Not at all walkable
image_3715,47.6128653,-122.3198173,6,Moderately walkable
image_3717,47.6232959,-122.3272145,3,Slightly walkable
image_3718,47.605195,-122.3394899,7,Very walkable
image_3719,47.6134804,-122.3485384,2,Not at all walkable
