,edge_id,u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,service,access,buffer_day,buffer_night,buffer_blended_day,buffer_blended_night,day_notes,night_notes,density_day,density_night,light_score,buffer_light,density_light,buffer_day_final_score,buffer_night_final_score,density_day_final_score,density_night_final_score,,AccessScore_slope
0,0,53071908,11060891513,0,263671504,2,Yesler Way,secondary,25 mph,FALSE,TRUE,13.047,"LINESTRING (-122.3207627 47.6016966, -122.3209367 47.6016979)",,,,0.8316369428430157,1,0.8316369428430157,0.9326547771372062,"{'Aggravated Assault': {'count': 1, 'last_at': '2025-06-04 08:21:00'}, 'Narcotics': {'count': 1, 'last_at': '2025-04-03 15:47:00'}, 'Larceny': {'count': 1, 'last_at': '2024-08-16 09:20:00'}}",{},0.8534266269518538,0.9572046776282913,0,1,0.9572046776282913,0.8316369428430157,0.9326547771372062,0.8363084980031703,0.8985753284090329,,0.994492028
1,1,53071908,11060891535,0,425646004,2,East Yesler Way,secondary,25 mph,FALSE,FALSE,23.651,"LINESTRING (-122.3207627 47.6016966, -122.320597 47.6016946, -122.3205205 47.601694, -122.3205121 47.6016939, -122.3204473 47.6016934)",,,,0,0.8601274567892147,0,0.46012745678921463,"{'Larceny': {'count': 12, 'last_at': '2025-07-14 08:00:00'}, 'Aggravated Assault': {'count': 3, 'last_at': '2025-07-28 08:30:00'}, 'Motor Vehicle Theft': {'count': 2, 'last_at': '2025-07-14 08:00:00'}, 'Weapon Law Violation': {'count': 1, 'last_at': '2025-05-14 16:45:00'}, 'Robbery': {'count': 1, 'last_at': '2025-05-14 16:45:00'}, 'Narcotics': {'count': 1, 'last_at': '2025-04-03 15:47:00'}}","{'Larceny': {'count': 2, 'last_at': '2025-03-28 23:33:00'}, 'Burglary': {'count': 1, 'last_at': '2025-07-07 21:43:00'}, 'Weapon Law Violation': {'count': 1, 'last_at': '2025-02-27 19:22:00'}, 'Fraud/Bribery': {'count': 1, 'last_at': '2025-06-01 18:35:00'}}",0.7879195880257963,0.9423152630448041,0,0.8601274567892147,0.9423152630448041,0,0.46012745678921463,0.764845693,0.8574830982551226,,0.993409367
2,2,53079292,11061356824,0,6506833,2,16th Avenue South,residential,20 mph,FALSE,FALSE,9.14,"LINESTRING (-122.3115776 47.601691, -122.3115775 47.6016088)",,,,1,0.9345969118797751,0.973838765,0.9345969118797751,{},"{'Aggravated Assault': {'count': 1, 'last_at': '2024-11-30 20:30:00'}, 'Property Offenses': {'count': 1, 'last_at': '2024-09-22 18:00:00'}, 'Larceny': {'count': 1, 'last_at': '2025-03-14 20:00:00'}}",0.9948924677468461,0.9392921490875922,0,0.9345969118797751,0.9392921490875922,0.973838765,0.9345969118797751,0.970609327,0.9372491361863307,,0
3,3,53079292,11061356822,0,256996974,2,East Yesler Way,tertiary,25 mph,FALSE,TRUE,9.605,"LINESTRING (-122.3115776 47.601691, -122.3117057 47.601691)",,,,1,0.9377632248392654,0.9751052899357062,0.9377632248392654,{},"{'Aggravated Assault': {'count': 1, 'last_at': '2024-11-30 20:30:00'}, 'Property Offenses': {'count': 1, 'last_at': '2024-09-22 18:00:00'}, 'Larceny': {'count': 1, 'last_at': '2025-03-14 20:00:00'}}",0.9940528350643133,0.9320872712881306,0,0.9377632248392654,0.9320872712881306,0.9751052899357062,0.9377632248392654,0.9668877435795655,0.9297084053138559,,0
4,4,53089007,11077999053,0,726514656,,South Jackson Street,secondary,25 mph,FALSE,FALSE,10.512,"LINESTRING (-122.3196351 47.5991921, -122.3194949 47.5991923)",,,,0.8230167479773901,0.062730993,0.44810914518590894,0,"{'Weapon Law Violation': {'count': 2, 'last_at': '2025-02-19 10:50:00'}, 'Property Offenses': {'count': 1, 'last_at': '2025-02-19 10:50:00'}, 'Larceny': {'count': 1, 'last_at': '2024-11-07 13:11:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2024-10-27 17:36:00'}, 'Narcotics': {'count': 1, 'last_at': '2024-10-16 07:47:00'}}","{'Larceny': {'count': 2, 'last_at': '2025-01-09 21:30:00'}, 'Arson': {'count': 1, 'last_at': '2025-03-17 01:15:00'}, 'Property Offenses': {'count': 1, 'last_at': '2025-04-17 20:47:00'}, 'DUI': {'count': 1, 'last_at': '2024-09-06 00:31:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2025-08-02 00:45:00'}, 'Assault': {'count': 1, 'last_at': '2024-09-02 05:02:00'}}",0.8355669062852988,0.6510651827123648,0,0.062730993,0.6510651827123648,0.44810914518590894,0,0.6959929793702447,0.5852919452264843,,0.982558387
5,5,53089007,11077999050,0,726514656,,South Jackson Street,secondary,25 mph,FALSE,TRUE,10.377,"LINESTRING (-122.3196351 47.5991921, -122.3197735 47.5991923)",,,,0.8207142772225426,0.050537554,0.4409292988526814,0,"{'Weapon Law Violation': {'count': 2, 'last_at': '2025-02-19 10:50:00'}, 'Property Offenses': {'count': 1, 'last_at': '2025-02-19 10:50:00'}, 'Larceny': {'count': 1, 'last_at': '2024-11-07 13:11:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2024-10-27 17:36:00'}, 'Narcotics': {'count': 1, 'last_at': '2024-10-16 07:47:00'}}","{'Larceny': {'count': 2, 'last_at': '2025-01-09 21:30:00'}, 'Arson': {'count': 1, 'last_at': '2025-03-17 01:15:00'}, 'Property Offenses': {'count': 1, 'last_at': '2025-04-17 20:47:00'}, 'DUI': {'count': 1, 'last_at': '2024-09-06 00:31:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2025-08-02 00:45:00'}, 'Assault': {'count': 1, 'last_at': '2024-09-02 05:02:00'}}",0.7985574226217401,0.6013325448141504,0,0.050537554,0.6013325448141504,0.4409292988526814,0,0.6390904405474003,0.5207555138628465,,0.662777313
6,6,53089007,11077999047,0,6402614,2,10th Avenue South,residential,20 mph,FALSE,FALSE,13.59,"LINESTRING (-122.3196351 47.5991921, -122.3196336 47.5991637, -122.3196325 47.5990699)",,,,0.8631016964487361,0.27501311248269866,0.5731069414418155,0.22025379106219312,"{'Weapon Law Violation': {'count': 2, 'last_at': '2025-02-19 10:50:00'}, 'Property Offenses': {'count': 1, 'last_at': '2025-02-19 10:50:00'}, 'Larceny': {'count': 1, 'last_at': '2024-11-07 13:11:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2024-10-27 17:36:00'}, 'Narcotics': {'count': 1, 'last_at': '2024-10-16 07:47:00'}}","{'Larceny': {'count': 2, 'last_at': '2025-01-09 21:30:00'}, 'Arson': {'count': 1, 'last_at': '2025-03-17 01:15:00'}, 'Property Offenses': {'count': 1, 'last_at': '2025-04-17 20:47:00'}, 'DUI': {'count': 1, 'last_at': '2024-09-06 00:31:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2025-08-02 00:45:00'}, 'Assault': {'count': 1, 'last_at': '2024-09-02 05:02:00'}}",0.8185342902621542,0.6319421138133985,0,0.27501311248269866,0.6319421138133985,0.5731069414418155,0.22025379106219312,0.6713111357875136,0.5593558299182602,,0.766570148
7,7,53089007,11077999048,0,6402614,2,10th Avenue South,residential,20 mph,FALSE,TRUE,11.899,"LINESTRING (-122.3196351 47.5991921, -122.3196351 47.5992196, -122.3196371 47.5992991)",,,,0.8436466975996575,0.17198320855869176,0.5124399810231342,0.10944188759855475,"{'Weapon Law Violation': {'count': 2, 'last_at': '2025-02-19 10:50:00'}, 'Property Offenses': {'count': 1, 'last_at': '2025-02-19 10:50:00'}, 'Larceny': {'count': 1, 'last_at': '2024-11-07 13:11:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2024-10-27 17:36:00'}, 'Narcotics': {'count': 1, 'last_at': '2024-10-16 07:47:00'}}","{'Larceny': {'count': 2, 'last_at': '2025-01-09 21:30:00'}, 'Arson': {'count': 1, 'last_at': '2025-03-17 01:15:00'}, 'Property Offenses': {'count': 1, 'last_at': '2025-04-17 20:47:00'}, 'DUI': {'count': 1, 'last_at': '2024-09-06 00:31:00'}, 'Aggravated Assault': {'count': 1, 'last_at': '2025-08-02 00:45:00'}, 'Assault': {'count': 1, 'last_at': '2024-09-02 05:02:00'}}",0.8232860629830762,0.6338693500862567,0,0.17198320855869176,0.6338693500862567,0.5124399810231342,0.10944188759855475,0.6768338030175788,0.5631837752794872,,0
8,8,53089008,8093391021,0,460425666,,South Jackson Street,secondary,25 mph,FALSE,TRUE,11.398,"LINESTRING (-122.317235 47.5992058, -122.317387 47.5992048)",,,,0,0,0,0,"{'Narcotics': {'count': 26, 'last_at': '2025-07-25 17:49:00'}, 'Property Offenses': {'count': 5, 'last_at': '2025-07-23 17:45:00'}, 'Larceny': {'count': 5, 'last_at': '2025-06-27 17:54:00'}, 'Aggravated Assault': {'count': 4, 'last_at': '2025-06-30 16:54:00'}, 'Weapon Law Violation': {'count': 3, 'last_at': '2025-06-05 09:43:00'}, 'Assault': {'count': 2, 'last_at': '2025-07-23 17:45:00'}, 'Disorderly Conduct': {'count': 1, 'last_at': '2024-12-11 11:59:00'}, 'DUI': {'count': 1, 'last_at': '2024-10-29 06:35:00'}, 'Robbery': {'count': 1, 'last_at': '2024-10-16 12:00:00'}}","{'Aggravated Assault': {'count': 6, 'last_at': '2025-06-07 20:00:00'}, 'Weapon Law Violation': {'count': 4, 'last_at': '2025-07-11 21:39:00'}, 'Robbery': {'count': 3, 'last_at': '2024-12-19 20:43:00'}, 'Narcotics': {'count': 3, 'last_at': '2025-07-27 19:40:00'}, 'Motor Vehicle Theft': {'count': 2, 'last_at': '2024-10-26 19:00:00'}, 'Assault': {'count': 2, 'last_at': '2025-06-01 19:46:00'}, 'Larceny': {'count': 1, 'last_at': '2025-07-01 00:00:00'}, 'Fraud/Bribery': {'count': 1, 'last_at': '2025-05-02 19:40:00'}, 'DUI': {'count': 1, 'last_at': '2024-10-12 01:34:00'}}",0.46361154097390955,0.5699374008412323,0,0,0.5699374008412323,0,0,0.2915865013104025,0.35538201723079615,,0.992106194
9,9,53089008,8095003120,0,263671317,2,South Jackson Street,secondary,25 mph,FALSE,TRUE,13.21,"LINESTRING (-122.317235 47.5992058, -122.317138 47.599235, -122.3170734 47.5992531)",,,,0,0,0,0,"{'Narcotics': {'count': 26, 'last_at': '2025-07-25 17:49:00'}, 'Property Offenses': {'count': 5, 'last_at': '2025-07-23 17:45:00'}, 'Larceny': {'count': 5, 'last_at': '2025-06-27 17:54:00'}, 'Aggravated Assault': {'count': 4, 'last_at': '2025-06-30 16:54:00'}, 'Weapon Law Violation': {'count': 3, 'last_at': '2025-06-05 09:43:00'}, 'Assault': {'count': 2, 'last_at': '2025-07-23 17:45:00'}, 'Disorderly Conduct': {'count': 1, 'last_at': '2024-12-11 11:59:00'}, 'DUI': {'count': 1, 'last_at': '2024-10-29 06:35:00'}, 'Robbery': {'count': 1, 'last_at': '2024-10-16 12:00:00'}}","{'Aggravated Assault': {'count': 6, 'last_at': '2025-06-07 20:00:00'}, 'Weapon Law Violation': {'count': 4, 'last_at': '2025-07-11 21:39:00'}, 'Robbery': {'count': 3, 'last_at': '2024-12-19 20:43:00'}, 'Narcotics': {'count': 3, 'last_at': '2025-07-27 19:40:00'}, 'Motor Vehicle Theft': {'count': 2, 'last_at': '2024-10-26 19:00:00'}, 'Assault': {'count': 2, 'last_at': '2025-06-01 19:46:00'}, 'Larceny': {'count': 1, 'last_at': '2025-07-01 00:00:00'}, 'Fraud/Bribery': {'count': 1, 'last_at': '2025-05-02 19:40:00'}, 'DUI': {'count': 1, 'last_at': '2024-10-12 01:34:00'}}",0.47265758535849034,0.5921001132346004,0,0,0.5921001132346004,0,0,0.3094976306523305,0.38116314737799656,,0.954087626
