u,v,key,osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,service,access
53071908,11060891513,0,263671504,2,Yesler Way,secondary,25 mph,False,True,13.047,"LINESTRING (-122.3207627 47.6016966, -122.3209367 47.6016979)",,,
53071908,11060891535,0,425646004,2,East Yesler Way,secondary,25 mph,False,False,23.650999999999996,"LINESTRING (-122.3207627 47.6016966, -122.320597 47.6016946, -122.3205205 47.601694, -122.3205121 47.6016939, -122.3204473 47.6016934)",,,
53079292,11061356824,0,6506833,2,16th Avenue South,residential,20 mph,False,False,9.14,"LINESTRING (-122.3115776 47.601691, -122.3115775 47.6016088)",,,
53079292,11061356822,0,256996974,2,East Yesler Way,tertiary,25 mph,False,True,9.605,"LINESTRING (-122.3115776 47.601691, -122.3117057 47.601691)",,,
53089007,11077999053,0,726514656,,South Jackson Street,secondary,25 mph,False,False,10.512,"LINESTRING (-122.3196351 47.5991921, -122.3194949 47.5991923)",,,
53089007,11077999050,0,726514656,,South Jackson Street,secondary,25 mph,False,True,10.377,"LINESTRING (-122.3196351 47.5991921, -122.3197735 47.5991923)",,,
53089007,11077999047,0,6402614,2,10th Avenue South,residential,20 mph,False,False,13.59,"LINESTRING (-122.3196351 47.5991921, -122.3196336 47.5991637, -122.3196325 47.5990699)",,,
53089007,11077999048,0,6402614,2,10th Avenue South,residential,20 mph,False,True,11.899,"LINESTRING (-122.3196351 47.5991921, -122.3196351 47.5992196, -122.3196371 47.5992991)",,,
53089008,8093391021,0,460425666,,South Jackson Street,secondary,25 mph,False,True,11.398,"LINESTRING (-122.317235 47.5992058, -122.317387 47.5992048)",,,
53089008,8095003120,0,263671317,2,South Jackson Street,secondary,25 mph,False,True,13.21,"LINESTRING (-122.317235 47.5992058, -122.317138 47.599235, -122.3170734 47.5992531)",,,
53089008,11077999066,0,333370569,2,South Jackson Street,secondary,25 mph,False,False,12.369,"LINESTRING (-122.317235 47.5992058, -122.317164 47.59918, -122.3170902 47.5991525)",,,
53089008,11077999082,0,428234195,5,12th Avenue South,secondary,25 mph,False,False,12.665000000000001,"LINESTRING (-122.317235 47.5992058, -122.317235 47.599179, -122.317235 47.5990919)",,,
53089008,11077999081,0,739874553,5,12th Avenue South,secondary,25 mph,False,True,12.067,"LINESTRING (-122.317235 47.5992058, -122.317234 47.5992341, -122.317232 47.5993143)",,,
53089011,3535107360,0,332223494,2,South Jackson Street,secondary,25 mph,False,False,18.79,"LINESTRING (-122.3141443 47.5992077, -122.3138937 47.5992072)",,,
53089011,7731894482,0,333370566,5,South Jackson Street,secondary,25 mph,False,True,21.095,"LINESTRING (-122.3141443 47.5992077, -122.3144256 47.5992045)",,,
53089011,2507633630,0,428247254,3,Rainier Avenue South,secondary,25 mph,False,True,21.931,"LINESTRING (-122.3141443 47.5992077, -122.3139214 47.59908)",,,
53089011,7404294435,0,792010739,2,Rainier Avenue South,secondary,25 mph,False,False,17.824,"LINESTRING (-122.3141443 47.5992077, -122.3140629 47.5990571)",,,
