neighborhood,avg_score,count
South Lake Union,0.9342088423333063,399
Central Business District,0.9107064649509332,411
International District,0.8949558338076176,207
Broadway,0.8887212758485599,329
Denny Triangle,0.9333404501685831,230
Lower Queen Anne,0.9580251836905117,238
Pike-Market,0.9318601759407505,111
First Hill,0.8953186072875411,374
Yesler Terrace,0.8957151323368294,157
Belltown,0.9392580578262384,378
Pioneer Square,0.9303231274429128,296
Interbay,0.988304648399353,2
SODO,0.9983435435209117,40
