Attribute ID,Label Type,Street ID,OSM Street ID,Neighborhood Name,Attribute Latitude,Attribute Longitude,Avg Image Capture Date,Avg Label Date,Severity,Agree Count,Disagree Count,Unsure Count,Cluster Size,User IDs
122331260,CurbRamp,25762,489639280,"Lower Queen Anne",47.618702,-122.35664,2018-07-01T00:00Z,2019-05-05T10:48:46.326667Z,1,5,0,0,3,"[fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c,7b1596af-14d4-4f2b-9e4e-71b1884db836,c7190807-b56e-40c5-b96e-49dc8368328c]"
122331261,CurbRamp,11255,8045491,"Belltown",47.618668,-122.35689,2018-07-01T00:00Z,2019-05-04T14:40:00.058500Z,1,2,0,0,2,"[fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c,c7190807-b56e-40c5-b96e-49dc8368328c]"
122331262,CurbRamp,24277,428248878,"Lower Queen Anne",47.61912,-122.35801,2018-06-01T00:00Z,2019-05-07T03:18:22.173Z,1,0,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331263,CurbRamp,25762,489639280,"Lower Queen Anne",47.61872,-122.35685,2018-07-01T00:00Z,2019-05-05T10:49:04.618667Z,1,1,0,0,3,"[fa0bbee4-b98d-4eb3-b6da-d9e9aa287f6c,7b1596af-14d4-4f2b-9e4e-71b1884db836,c7190807-b56e-40c5-b96e-49dc8368328c]"
122331264,CurbRamp,3423,6396526,"Lower Queen Anne",47.618683,-122.35295,2019-11-20T16:00Z,2021-05-13T11:47:51.983Z,1,5,0,0,3,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,5b214fe5-91fb-4140-a799-7c71ebef4a32,c2db8e4b-26a7-4bb3-a8f2-297219679b6f,7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331270,CurbRamp,24220,428247162,"South Lake Union",47.619835,-122.349,2019-06-01T00:00Z,2021-07-13T20:47:14.495Z,1,1,0,0,1,"[7486977c-f91a-4ce0-be11-c0c8a0b38e12]"
122331271,CurbRamp,24221,428247165,"South Lake Union",47.619747,-122.34905,2018-07-01T00:00Z,2019-05-04T04:47:46.039Z,1,1,0,0,1,"[5b214fe5-91fb-4140-a799-7c71ebef4a32]"
122331272,CurbRamp,20708,332200727,"Lower Queen Anne",47.61864,-122.3505,2018-07-01T00:00Z,2019-04-25T04:12:54.178Z,1,1,0,0,1,"[1353d168-ab49-4474-ae8a-213eb2dafab5]"
122331273,CurbRamp,18149,239806080,"Lower Queen Anne",47.61985,-122.352745,2018-07-01T00:00Z,2019-05-07T02:31:02.573Z,1,1,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331331,CurbRamp,20708,332200727,"Lower Queen Anne",47.618683,-122.35041,2018-10-20T16:00Z,2019-12-31T18:35:20.707333Z,1,4,0,0,3,"[5b214fe5-91fb-4140-a799-7c71ebef4a32,12d3f3e7-1635-41ee-84e5-28f4130828d5,1353d168-ab49-4474-ae8a-213eb2dafab5]"
122331332,CurbRamp,24220,428247162,"South Lake Union",47.61993,-122.34892,2019-06-01T00:00Z,2021-07-13T20:47:05.579Z,1,1,0,0,1,"[7486977c-f91a-4ce0-be11-c0c8a0b38e12]"
122331333,CurbRamp,18149,239806080,"Lower Queen Anne",47.619812,-122.352875,2018-07-01T00:00Z,2019-05-07T02:31:09.813Z,1,1,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331366,CurbRamp,23977,428222836,"Lower Queen Anne",47.623158,-122.347435,2019-05-01T00:00Z,2021-05-14T07:39:12.589Z,1,1,0,0,2,"[435309a9-9476-4335-ade9-08bcdd4b922b,9236bc61-60ef-4d3e-8a6f-f1679d3d71aa]"
122331376,CurbRamp,18149,239806080,"Lower Queen Anne",47.62087,-122.352974,2017-07-01T00:00Z,2019-05-07T02:30:20.917Z,1,1,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331414,CurbRamp,3343,6394463,"Lower Queen Anne",47.623337,-122.34773,2019-01-09T16:00Z,2020-09-10T05:53:29.433667Z,1,1,0,0,3,"[7b1596af-14d4-4f2b-9e4e-71b1884db836,435309a9-9476-4335-ade9-08bcdd4b922b,9236bc61-60ef-4d3e-8a6f-f1679d3d71aa]"
122331468,CurbRamp,20829,332473707,"Belltown",47.618683,-122.35275,2020-03-01T12:00Z,2021-10-13T09:28:48.148Z,1,2,0,0,2,"[c2db8e4b-26a7-4bb3-a8f2-297219679b6f,7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331469,CurbRamp,20827,332473706,"Belltown",47.618664,-122.35299,2019-05-01T00:00Z,2020-12-11T14:07:33.915Z,1,2,0,0,1,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,5b214fe5-91fb-4140-a799-7c71ebef4a32]"
122331480,CurbRamp,20055,264828727,"Lower Queen Anne",47.622147,-122.34615,2019-07-01T00:00Z,2021-07-18T16:15:01.851Z,1,1,0,0,1,"[435309a9-9476-4335-ade9-08bcdd4b922b]"
122331481,CurbRamp,20055,264828727,"Lower Queen Anne",47.62199,-122.346115,2019-03-01T08:00Z,2020-11-03T23:09:51.110667Z,1,4,0,0,3,"[76679fed-88b1-4378-b3b2-c8d69c628c27,435309a9-9476-4335-ade9-08bcdd4b922b,f50bb700-9daa-48e5-9318-7c5dd97e2a95]"
122331484,CurbRamp,25424,466211471,"Lower Queen Anne",47.62307,-122.34467,2018-12-15T12:00Z,2020-06-05T21:13:25.163Z,2,1,0,0,2,"[435309a9-9476-4335-ade9-08bcdd4b922b,1353d168-ab49-4474-ae8a-213eb2dafab5]"
122331489,CurbRamp,17461,170178099,"Lower Queen Anne",47.62201,-122.346504,2019-07-01T00:00Z,2021-07-18T16:14:51.777Z,1,2,0,0,1,"[435309a9-9476-4335-ade9-08bcdd4b922b]"
122331491,CurbRamp,17461,170178099,"Lower Queen Anne",47.622147,-122.34646,2019-07-01T00:00Z,2021-07-18T16:14:57.387Z,1,1,0,0,1,"[435309a9-9476-4335-ade9-08bcdd4b922b]"
122331512,CurbRamp,19878,263689011,"Lower Queen Anne",47.622208,-122.35683,2018-06-01T00:00Z,2019-05-07T03:41:18.320Z,1,0,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331514,CurbRamp,19877,263689011,"Lower Queen Anne",47.622074,-122.35682,2018-06-01T00:00Z,2019-05-07T03:41:28.896Z,1,0,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331549,CurbRamp,19878,263689011,"Lower Queen Anne",47.623993,-122.35679,2018-07-01T00:00Z,2019-05-07T03:38:30.930Z,1,1,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331575,CurbRamp,19878,263689011,"Lower Queen Anne",47.623337,-122.35687,2018-07-01T00:00Z,2019-05-07T03:39:33.891Z,1,1,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331582,CurbRamp,19878,263689011,"Lower Queen Anne",47.62399,-122.35664,2018-07-01T00:00Z,2019-05-07T03:38:27.117Z,1,1,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331586,CurbRamp,19878,263689011,"Lower Queen Anne",47.623333,-122.35658,2018-07-01T00:00Z,2019-05-07T03:39:19.578Z,1,0,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331587,CurbRamp,19879,263689012,"Lower Queen Anne",47.62333,-122.35563,2019-05-01T00:00Z,2021-04-21T04:24:20.424Z,1,0,0,0,1,"[09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2]"
122331588,CurbRamp,19879,263689012,"Lower Queen Anne",47.62341,-122.35555,2019-05-01T00:00Z,2021-04-19T00:50:49.329Z,1,3,0,0,2,"[09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184]"
122331589,CurbRamp,19878,263689011,"Lower Queen Anne",47.62337,-122.35665,2018-07-01T00:00Z,2019-05-07T03:39:15.346Z,1,1,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331590,CurbRamp,19878,263689011,"Lower Queen Anne",47.62324,-122.35661,2018-07-01T00:00Z,2019-05-07T03:39:24.073Z,1,1,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331591,CurbRamp,24871,456124866,"Lower Queen Anne",47.62321,-122.355644,2019-05-01T00:00Z,2021-04-21T04:24:28.846Z,1,0,0,0,1,"[09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2]"
122331592,CurbRamp,24871,456124866,"Lower Queen Anne",47.623165,-122.35555,2019-05-01T00:00Z,2021-04-19T00:50:35.970Z,1,2,0,0,2,"[4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2]"
122331593,CurbRamp,19878,263689011,"Lower Queen Anne",47.623222,-122.356674,2018-07-01T00:00Z,2019-05-07T03:39:45.289Z,1,0,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331594,CurbRamp,19878,263689011,"Lower Queen Anne",47.62326,-122.356834,2018-07-01T00:00Z,2019-05-07T03:39:38.106Z,1,1,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331595,CurbRamp,24871,456124866,"Lower Queen Anne",47.623207,-122.355255,2019-05-01T00:00Z,2021-04-21T04:24:32.808Z,1,1,0,0,1,"[09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2]"
122331596,CurbRamp,19878,263689011,"Lower Queen Anne",47.623238,-122.35682,2018-07-01T00:00Z,2019-05-07T03:39:40.929Z,1,0,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331597,CurbRamp,19879,263689012,"Lower Queen Anne",47.623352,-122.35528,2019-05-01T00:00Z,2021-04-21T04:24:15.285Z,1,1,1,0,1,"[09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2]"
122331598,CurbRamp,19879,263689012,"Lower Queen Anne",47.623333,-122.35527,2019-05-01T00:00Z,2021-04-19T00:50:41.811500Z,1,2,0,0,2,"[09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184]"
122331599,CurbRamp,19878,263689011,"Lower Queen Anne",47.62337,-122.35683,2018-07-01T00:00Z,2019-05-07T03:39:11.544Z,1,1,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331600,CurbRamp,24271,428248874,"Lower Queen Anne",47.622013,-122.35537,2018-06-01T00:00Z,2019-05-07T03:42:58.008Z,1,0,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331601,CurbRamp,3489,6397899,"Lower Queen Anne",47.623184,-122.3542,2019-05-01T00:00Z,2021-03-18T03:36:44.485Z,1,1,0,0,1,"[09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2]"
122331603,CurbRamp,3489,6397899,"Lower Queen Anne",47.623383,-122.35418,2019-05-01T00:00Z,2021-03-16T00:51:44.178Z,1,2,0,0,2,"[4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2]"
122331604,CurbRamp,19878,263689011,"Lower Queen Anne",47.622208,-122.356674,2018-06-01T00:00Z,2019-05-07T03:41:14.433Z,1,0,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331605,CurbRamp,24271,428248874,"Lower Queen Anne",47.621998,-122.35554,2018-06-01T00:00Z,2019-05-07T03:43:03.781Z,1,0,0,0,2,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331606,CurbRamp,3489,6397899,"Lower Queen Anne",47.623306,-122.3542,2019-05-01T00:00Z,2021-03-18T03:36:37.970Z,1,1,0,0,1,"[09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2]"
122331607,CurbRamp,6804,6457584,"Lower Queen Anne",47.622044,-122.35559,2019-01-09T16:00Z,2020-08-24T09:49:04.807667Z,1,5,0,0,3,"[7b1596af-14d4-4f2b-9e4e-71b1884db836,09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184]"
122331608,CurbRamp,6804,6457584,"Lower Queen Anne",47.622173,-122.35559,2018-11-15T00:00Z,2020-04-28T16:04:23.961Z,1,3,0,0,2,"[09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2,7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331609,CurbRamp,24872,456124867,"Lower Queen Anne",47.620857,-122.35665,2019-05-01T00:00Z,2021-03-20T21:31:24.151Z,1,2,0,0,2,"[09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184]"
122331610,CurbRamp,24420,428294471,"Lower Queen Anne",47.620888,-122.355385,2018-06-01T00:00Z,2019-05-07T03:44:28.326Z,1,0,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331611,CurbRamp,24420,428294471,"Lower Queen Anne",47.620884,-122.35557,2018-06-01T00:00Z,2019-05-07T03:44:23.592Z,1,0,0,0,1,"[7b1596af-14d4-4f2b-9e4e-71b1884db836]"
122331612,CurbRamp,24872,456124867,"Lower Queen Anne",47.621002,-122.35658,2019-05-01T00:00Z,2021-03-28T02:02:07.480Z,1,1,0,0,1,"[09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2]"
122331613,CurbRamp,24872,456124867,"Lower Queen Anne",47.621014,-122.35662,2019-05-01T00:00Z,2021-03-20T21:30:39.398500Z,1,2,0,0,2,"[4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,09f7d7cc-8c3b-4fa4-9c21-d7808bae8fb2]"
