Attribute ID,Label Type,Street ID,OSM Street ID,Neighborhood 1me,Attribute Latitude,Attribute Longitude,Avg Image Capture Date,Avg Label Date,Severity,Agree Count,Disagree Count,Unsure Count,Cluster Size,User IDs
123561313,CurbRamp,19415,256996971,"Minor",47.601715,-122.31289,2021-11-01T00:00Z,2024-08-06T17:21:51.773Z,4,1,0,0,1,"[24e0a596-2733-44c3-b7af-0cea29097309]"
123561710,CurbRamp,19421,256996974,"Minor",47.601707,-122.311485,2021-11-01T00:00Z,2024-08-08T00:06:57.690Z,2,0,0,0,1,"[24e0a596-2733-44c3-b7af-0cea29097309]"
123563378,NoCurbRamp,19415,256996971,"Minor",47.60172,-122.31292,2021-11-01T00:00Z,2024-08-06T17:21:46.100Z,3,1,0,0,1,"[24e0a596-2733-44c3-b7af-0cea29097309]"
123563379,NoCurbRamp,19421,256996974,"Minor",47.601707,-122.31149,2021-11-01T00:00Z,2024-07-22T17:10:00.377Z,1,0,0,0,1,"[593c2f1f-570c-4bf8-a203-48b59c4a8283]"
123563545,Crosswalk,21442,347092910,"Atlantic",47.6017,-122.314224,2024-09-01T00:00Z,2025-05-08T04:36:36.205Z,2,0,0,0,1,"[c74affdb-42a2-400d-a674-153cf7c54eb9]"
123567705,CurbRamp,2165,6371699,"Atlantic",47.596592,-122.31195,2020-08-21T08:00Z,2023-12-08T09:16:32.781500Z,1,3,0,0,3,"[497e70b2-19f6-4f12-8fff-4141a9033888,5649f240-6ca3-4b23-9114-c57ff92f9946,c74affdb-42a2-400d-a674-153cf7c54eb9,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184]"
123567726,CurbRamp,2165,6371699,"Atlantic",47.596615,-122.31195,2022-04-17T00:00Z,2024-09-15T03:12:12.129Z,1,2,0,0,2,"[5649f240-6ca3-4b23-9114-c57ff92f9946,0a3908c9-bddb-469b-8d7e-4c70cc14a35c,497e70b2-19f6-4f12-8fff-4141a9033888]"
123567727,CurbRamp,26606,573669452,"Inter1tio1l District",47.596016,-122.31152,2019-08-01T00:00Z,2021-07-24T05:30:49.886500Z,1,1,0,0,1,"[435309a9-9476-4335-ade9-08bcdd4b922b,7486977c-f91a-4ce0-be11-c0c8a0b38e12]"
123567728,CurbRamp,26606,573669452,"Inter1tio1l District",47.595966,-122.31149,2021-03-22T00:00Z,2022-07-08T22:42:41.765333Z,1,2,0,0,3,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,c74affdb-42a2-400d-a674-153cf7c54eb9,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184]"
123567737,CurbRamp,21439,347092907,"Atlantic",47.599308,-122.3145,2019-06-01T00:00Z,2020-10-05T03:33:19.988250Z,1,4,0,0,2,"[435309a9-9476-4335-ade9-08bcdd4b922b,ec15a589-dd14-4513-a43e-8c06e55f4c71,8b9c4528-e76a-4d19-997c-4e46704ca936]"
123567738,CurbRamp,21001,333370566,"Inter1tio1l District",47.59926,-122.31441,2023-02-01T00:00Z,2024-08-01T20:25:14.058Z,2,0,0,0,1,"[24e0a596-2733-44c3-b7af-0cea29097309]"
123567739,CurbRamp,21451,347092915,"Atlantic",47.600044,-122.31164,2021-11-01T00:00Z,2024-10-23T10:36:31.980Z,2,1,0,0,1,"[c74affdb-42a2-400d-a674-153cf7c54eb9,c9d4636e-7267-4d52-a82c-f0dc859182d8]"
123567740,CurbRamp,21451,347092915,"Atlantic",47.600075,-122.31172,2019-02-15T00:00Z,2020-04-14T12:20:15.699Z,2,1,0,0,2,"[a5e38991-dc2f-44df-9968-d63a2916e413,12d3f3e7-1635-41ee-84e5-28f4130828d5]"
123567796,CurbRamp,12454,22760519,"Atlantic",47.599297,-122.31148,2020-01-31T00:00Z,2022-05-02T00:41:51.496500Z,2,1,0,0,2,"[a5e38991-dc2f-44df-9968-d63a2916e413,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123567798,CurbRamp,19902,263712957,"Atlantic",47.597527,-122.31166,2018-12-31T08:00Z,2022-08-01T13:23:18.032667Z,1,2,0,1,3,"[9a30e15b-c0bb-4e11-b801-bbab5da9c789,497e70b2-19f6-4f12-8fff-4141a9033888,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184]"
123567799,CurbRamp,19904,263712957,"Atlantic",47.597446,-122.31148,2019-06-16T00:00Z,2020-11-07T07:52:28.116500Z,2,2,0,0,2,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,0deac935-2e35-4cb8-ae0c-1ed02dff672d]"
123567833,CurbRamp,13123,32121988,"Atlantic",47.601624,-122.3167,2020-02-09T16:00Z,2022-05-27T06:43:44.674667Z,1,4,0,0,3,"[46bcaa7c-c94d-4dd5-9886-d21f86543f28,db47ab06-5f24-4367-8faa-f9185725d0c3,12d3f3e7-1635-41ee-84e5-28f4130828d5]"
123567834,CurbRamp,13123,32121988,"Atlantic",47.601707,-122.31668,2021-07-01T00:00Z,2025-05-09T01:13:22.138Z,1,0,0,0,1,"[c74affdb-42a2-400d-a674-153cf7c54eb9]"
123567835,CurbRamp,21449,347092914,"Atlantic",47.599976,-122.316055,2018-11-15T00:00Z,2019-12-12T01:18:41.129Z,2,1,0,0,2,"[a5e38991-dc2f-44df-9968-d63a2916e413,8b9c4528-e76a-4d19-997c-4e46704ca936]"
123567836,CurbRamp,21447,347092913,"Atlantic",47.599243,-122.31603,2019-06-01T00:00Z,2021-04-06T07:45:27.699500Z,2,3,0,0,2,"[51067b9d-0d89-47d9-9ae0-50ea7ac8235b,435309a9-9476-4335-ade9-08bcdd4b922b]"
123567863,CurbRamp,9727,6506833,"Atlantic",47.601646,-122.311584,2021-11-01T00:00Z,2024-07-30T20:37:24.213500Z,2,1,0,0,1,"[24e0a596-2733-44c3-b7af-0cea29097309,593c2f1f-570c-4bf8-a203-48b59c4a8283]"
123567864,CurbRamp,12490,22917663,"Atlantic",47.60091,-122.31149,2021-06-01T06:00Z,2023-03-22T00:45:33.373500Z,1,4,0,0,4,"[4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,b6fcdcca-ecfb-474c-9c34-830921e51dad,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123567865,CurbRamp,12490,22917663,"Atlantic",47.600807,-122.31148,2022-02-15T00:00Z,2023-03-02T18:14:38.280Z,1,1,0,0,2,"[4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,b6fcdcca-ecfb-474c-9c34-830921e51dad]"
123567866,CurbRamp,9727,6506833,"Atlantic",47.60092,-122.31161,2021-11-01T00:00Z,2025-04-26T21:36:01.381Z,2,0,0,0,1,"[c74affdb-42a2-400d-a674-153cf7c54eb9]"
123567869,CurbRamp,9726,6506833,"Atlantic",47.6008,-122.31152,2023-04-02T12:00Z,2025-03-21T19:10:46.582500Z,2,2,0,0,2,"[b6fcdcca-ecfb-474c-9c34-830921e51dad,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123567870,CurbRamp,19415,256996971,"Minor",47.601624,-122.31296,2020-03-11T08:00Z,2022-03-29T18:37:09.894667Z,2,2,0,0,3,"[7877096f-71c2-4bc9-81f7-4931ac837123,24e0a596-2733-44c3-b7af-0cea29097309,12d3f3e7-1635-41ee-84e5-28f4130828d5]"
123567871,CurbRamp,6826,6458014,"Atlantic",47.60157,-122.312935,2019-05-01T00:00Z,2020-07-15T01:46:45.916500Z,2,0,0,0,1,"[8b9c4528-e76a-4d19-997c-4e46704ca936]"
123568035,CurbRamp,2165,6371699,"Atlantic",47.59668,-122.312004,2019-08-01T06:00Z,2022-11-28T11:40:04.321833Z,1,4,0,0,4,"[497e70b2-19f6-4f12-8fff-4141a9033888,5649f240-6ca3-4b23-9114-c57ff92f9946,12d3f3e7-1635-41ee-84e5-28f4130828d5,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184]"
123568046,CurbRamp,2165,6371699,"Atlantic",47.596653,-122.31202,2023-11-17T00:00Z,2024-12-14T23:35:30.693Z,1,0,0,0,2,"[5649f240-6ca3-4b23-9114-c57ff92f9946,c74affdb-42a2-400d-a674-153cf7c54eb9]"
123568047,CurbRamp,9729,6506833,"Atlantic",47.59671,-122.31154,2021-04-01T12:00Z,2023-01-03T09:21:08.262Z,1,2,0,0,2,"[12d3f3e7-1635-41ee-84e5-28f4130828d5,497e70b2-19f6-4f12-8fff-4141a9033888]"
123568048,CurbRamp,2165,6371699,"Atlantic",47.596733,-122.311676,2018-08-01T00:00Z,2019-04-23T15:31:19.299Z,4,1,1,0,1,"[475f6bf0-5361-433f-8716-e7bcf184dee7]"
123568049,CurbRamp,2162,6371699,"Atlantic",47.596725,-122.311516,2019-09-15T12:00Z,2022-03-17T01:30:31.133800Z,1,4,0,0,4,"[8b9c4528-e76a-4d19-997c-4e46704ca936,475f6bf0-5361-433f-8716-e7bcf184dee7,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,497e70b2-19f6-4f12-8fff-4141a9033888,c74affdb-42a2-400d-a674-153cf7c54eb9]"
