Offense ID,Offense Date,Latitude,Longitude,Offense DateTime,Offense Type,Crime Score,Hour
62771092167,02/14/2025 10:01:00 AM,47.61360367,-122.343923587673,2025-02-14 10:01:00,Narcotics,6.0,10
58598520619,08/27/2024 11:44:00 AM,47.60477,-122.330168,2024-08-27 11:44:00,Aggravated Assault,10.0,11
59966664020,10/08/2024 06:25:00 AM,47.620314,-122.345007,2024-10-08 06:25:00,Property Offenses,4.0,6
57609591115,07/14/2024 01:33:00 PM,47.60925298,-122.337338754273,2024-07-14 13:33:00,Narcotics,6.0,13
59917537944,09/21/2024 04:05:00 PM,47.61704061,-122.325552288199,2024-09-21 16:05:00,Larceny,4.0,16
63933714068,05/10/2025 03:41:00 PM,47.61218783,-122.350021896148,2025-05-10 15:41:00,Larceny,4.0,15
58705252039,09/02/2024 08:00:00 AM,47.59751089,-122.323756785046,2024-09-02 08:00:00,Larceny,4.0,8
61000642444,11/26/2024 03:50:00 PM,47.6167093,-122.326803612042,2024-11-26 15:50:00,Aggravated Assault,10.0,15
62726481795,02/10/2025 03:21:00 PM,47.60957017,-122.324583879296,2025-02-10 15:21:00,Property Offenses,4.0,15
63205968906,03/14/2025 10:00:00 AM,47.62024211,-122.325296762798,2025-03-14 10:00:00,Larceny,4.0,10
63960672039,05/11/2025 06:00:00 AM,47.60520035,-122.318760347473,2025-05-11 06:00:00,Larceny,4.0,6
60008330878,10/08/2024 05:00:00 PM,47.59918657,-122.318430722495,2024-10-08 17:00:00,Burglary,4.0,17
62262959653,12/19/2024 02:00:00 PM,47.61465549,-122.320789513668,2024-12-19 14:00:00,Burglary,4.0,14
62855359568,02/15/2025 03:30:00 PM,47.61289773,-122.336837714013,2025-02-15 15:30:00,Larceny,4.0,15
60768889293,11/06/2024 06:03:00 AM,47.6102463,-122.33824729819,2024-11-06 06:03:00,Burglary,4.0,6
62929324184,02/26/2025 06:20:00 AM,47.61441995,-122.348279648642,2025-02-26 06:20:00,Burglary,4.0,6
63132040558,03/10/2025 12:41:00 PM,47.61919797,-122.330415001747,2025-03-10 12:41:00,Property Offenses,4.0,12
58883461651,07/19/2024 01:00:00 PM,47.61432034,-122.344143639085,2024-07-19 13:00:00,Fraud/Bribery,2.0,13
62904705062,02/12/2025 03:36:00 PM,47.61679885,-122.349327383087,2025-02-12 15:36:00,Aggravated Assault,10.0,15
64299630509,06/02/2025 05:30:00 PM,47.61788922,-122.330349055385,2025-06-02 17:30:00,Aggravated Assault,10.0,17
58594810080,08/27/2024 09:37:00 AM,47.59961645,-122.328966301817,2024-08-27 09:37:00,Property Offenses,4.0,9
58613189417,08/22/2024 02:00:00 PM,47.62197082,-122.332352266859,2024-08-22 14:00:00,Larceny,4.0,14
63963290232,05/13/2025 08:56:00 AM,47.60171758,-122.331124140429,2025-05-13 08:56:00,Burglary,4.0,8
60942955401,11/19/2024 11:50:00 AM,47.61857911,-122.349640253949,2024-11-19 11:50:00,Larceny,4.0,11
61883152302,12/17/2024 01:45:00 PM,47.610682,-122.341959546954,2024-12-17 13:45:00,Fraud/Bribery,2.0,13
62062931140,12/11/2024 05:13:00 PM,47.61132124,-122.337320425615,2024-12-11 17:13:00,Larceny,4.0,17
60073876477,10/16/2024 07:47:00 AM,47.59918405,-122.31963858846,2024-10-16 07:47:00,Narcotics,6.0,7
63712017534,04/27/2025 02:00:00 PM,47.62392989,-122.356714535498,2025-04-27 14:00:00,Larceny,4.0,14
64644018543,06/16/2025 11:05:00 AM,47.61204553,-122.348232009585,2025-06-16 11:05:00,Larceny,4.0,11
60665947947,11/05/2024 04:00:00 PM,47.60901496,-122.329449999999,2024-11-05 16:00:00,Motor Vehicle Theft,3.0,16
62407100968,12/19/2024 05:38:00 PM,47.62024434,-122.330420399999,2024-12-19 17:38:00,Larceny,4.0,17
63000992922,03/03/2025 10:40:00 AM,47.60412807,-122.323443931995,2025-03-03 10:40:00,Larceny,4.0,10
62666986439,02/02/2025 11:11:00 AM,47.61522861,-122.322772701206,2025-02-02 11:11:00,Larceny,4.0,11
62234379870,01/11/2025 12:48:00 PM,47.61438942,-122.337653883716,2025-01-11 12:48:00,Assault,8.0,12
60780819414,11/10/2024 09:00:00 AM,47.61554493,-122.340264678805,2024-11-10 09:00:00,Larceny,4.0,9
60168451892,10/22/2024 10:13:00 AM,47.609253,-122.337339,2024-10-22 10:13:00,Narcotics,6.0,10
62669622276,02/07/2025 12:24:00 PM,47.61369803,-122.328358836396,2025-02-07 12:24:00,Disorderly Conduct,6.0,12
64025153838,05/17/2025 05:38:00 PM,47.61004628,-122.340367245242,2025-05-17 17:38:00,Disorderly Conduct,6.0,17
57924691934,07/14/2024 08:00:00 AM,47.62083366,-122.3252999972076,2024-07-14 08:00:00,Larceny,4.0,8
62492268030,01/28/2025 02:44:00 PM,47.61260646,-122.345213265822,2025-01-28 14:44:00,Narcotics,6.0,14
57921759136,07/26/2024 09:17:00 AM,47.61856415,-122.345841025233,2024-07-26 09:17:00,Larceny,4.0,9
59076038965,09/12/2024 03:40:00 PM,47.60412807,-122.323443931995,2024-09-12 15:40:00,Larceny,4.0,15
62128573890,12/26/2024 12:30:00 PM,47.61578647,-122.324479731188,2024-12-26 12:30:00,Larceny,4.0,12
63296248903,03/20/2025 10:00:00 AM,47.6161057,-122.337244415314,2025-03-20 10:00:00,Fraud/Bribery,2.0,10
61939783342,12/19/2024 03:30:00 PM,47.61931579,-122.322196399378,2024-12-19 15:30:00,Burglary,4.0,15
63529294589,04/10/2025 12:45:00 PM,47.60830131,-122.328797187229,2025-04-10 12:45:00,Property Offenses,4.0,12
63391996156,03/28/2025 12:00:00 PM,47.61432034,-122.344143639085,2025-03-28 12:00:00,Fraud/Bribery,2.0,12
63674205941,01/31/2025 04:00:00 PM,47.60951744,-122.338348304267,2025-01-31 16:00:00,Fraud/Bribery,2.0,16
59633946846,09/26/2024 10:24:00 AM,47.60412807,-122.323443931995,2024-09-26 10:24:00,Assault,8.0,10
64157276430,05/25/2025 05:30:00 PM,47.62388075,-122.338440839856,2025-05-25 17:30:00,Assault,8.0,17
64764194258,06/30/2025 09:23:00 AM,47.60253739,-122.331963999999,2025-06-30 09:23:00,Aggravated Assault,10.0,9
61922210214,12/14/2024 12:00:00 PM,47.62196996,-122.331070199999,2024-12-14 12:00:00,Larceny,4.0,12
64509116961,06/12/2025 01:15:00 PM,47.59708944,-122.322453465774,2025-06-12 13:15:00,Property Offenses,4.0,13
62189676682,01/07/2025 02:46:00 PM,47.61355147,-122.342843233041,2025-01-07 14:46:00,Narcotics,6.0,14
59636036679,09/26/2024 12:36:00 PM,47.61856415,-122.345841025233,2024-09-26 12:36:00,Aggravated Assault,10.0,12
63288701415,03/22/2025 03:47:00 PM,47.61236845,-122.334817770244,2025-03-22 15:47:00,Robbery,8.0,15
59712696765,09/29/2024 01:12:00 PM,47.6086581,-122.329123594406,2024-09-29 13:12:00,Property Offenses,4.0,13
58634880613,08/29/2024 01:37:00 PM,47.61256725,-122.332698351078,2024-08-29 13:37:00,Property Offenses,4.0,13
58417337150,08/15/2024 02:26:00 PM,47.60087628,-122.329615323647,2024-08-15 14:26:00,Assault,8.0,14
61437442048,12/08/2024 03:22:00 PM,47.62092405,-122.352168309461,2024-12-08 15:22:00,Assault,8.0,15
64249511782,05/29/2025 04:50:00 PM,47.61972993,-122.345006760643,2025-05-29 16:50:00,DUI,5.0,16
57881673152,07/22/2024 10:00:00 AM,47.60889024,-122.328568381373,2024-07-22 10:00:00,Burglary,4.0,10
64374844186,06/07/2025 08:30:00 AM,47.61704062,-122.325552281989,2025-06-07 08:30:00,Property Offenses,4.0,8
62526106447,01/30/2025 05:22:00 PM,47.59834791,-122.319643595397,2025-01-30 17:22:00,Property Offenses,4.0,17
59858707556,10/03/2024 10:10:00 AM,47.62393445,-122.358019952483,2024-10-03 10:10:00,Robbery,8.0,10
57763630866,07/18/2024 05:30:00 PM,47.61205116,-122.32454978329,2024-07-18 17:30:00,Motor Vehicle Theft,3.0,17
60389037590,10/21/2024 04:18:00 PM,47.61190424,-122.335928553433,2024-10-21 16:18:00,Larceny,4.0,16
64051416160,05/18/2025 10:00:00 AM,47.61914524,-122.345006288996,2025-05-18 10:00:00,Burglary,4.0,10
57751234186,07/18/2024 06:49:00 AM,47.61407567,-122.320780366798,2024-07-18 06:49:00,Aggravated Assault,10.0,6
62189985561,01/07/2025 03:10:00 PM,47.62262048,-122.33714694111,2025-01-07 15:10:00,Larceny,4.0,15
62986298105,03/03/2025 02:38:00 PM,47.61696696,-122.346637799326,2025-03-03 14:38:00,Trespass,1.0,14
63322280097,03/25/2025 11:58:00 AM,47.61079035,-122.344123270831,2025-03-25 11:58:00,Aggravated Assault,10.0,11
60996207482,11/21/2024 09:36:00 AM,47.62046445,-122.323081599999,2024-11-21 09:36:00,Larceny,4.0,9
62656190807,02/06/2025 07:00:00 AM,47.61913489,-122.342396782687,2025-02-06 07:00:00,Larceny,4.0,7
61872274711,12/14/2024 04:45:00 PM,47.61134853,-122.341102346783,2024-12-14 16:45:00,Property Offenses,4.0,16
57840375953,07/21/2024 10:09:00 AM,47.60878866,-122.338449521803,2024-07-21 10:09:00,Assault,8.0,10
64455066788,06/10/2025 03:14:00 PM,47.60878866,-122.338449521803,2025-06-10 15:14:00,Larceny,4.0,15
62991679714,03/03/2025 02:38:00 PM,47.61696696,-122.346637799326,2025-03-03 14:38:00,Assault,8.0,14
63777942010,04/20/2025 12:00:00 PM,47.6086827,-122.340266606267,2025-04-20 12:00:00,Larceny,4.0,12
58702851182,08/20/2024 05:50:00 PM,47.60740674,-122.335649745573,2024-08-20 17:50:00,Larceny,4.0,17
63149143683,03/11/2025 07:20:00 AM,47.61910958,-122.335871380653,2025-03-11 07:20:00,Burglary,4.0,7
63888354933,05/08/2025 03:00:00 PM,47.610682,-122.341959546954,2025-05-08 15:00:00,Larceny,4.0,15
63089746176,03/07/2025 03:42:00 PM,47.61848552,-122.324645299631,2025-03-07 15:42:00,Larceny,4.0,15
63312306460,03/24/2025 02:00:00 PM,47.61132124,-122.337320425615,2025-03-24 14:00:00,Larceny,4.0,14
61398666843,12/04/2024 06:40:00 AM,47.62313955,-122.324671249862,2024-12-04 06:40:00,Larceny,4.0,6
64885389257,07/08/2025 12:40:00 PM,47.61095,-122.321285,2025-07-08 12:40:00,Assault,8.0,12
58773754576,09/06/2024 11:16:00 AM,47.59919385,-122.32701375483,2024-09-06 11:16:00,Aggravated Assault,10.0,11
63462103213,04/03/2025 05:18:00 PM,47.5991886,-122.32375005635,2025-04-03 17:18:00,Property Offenses,4.0,17
64484467550,06/10/2025 02:15:00 PM,47.60640699,-122.34087365832,2025-06-10 14:15:00,Larceny,4.0,14
63649594871,04/12/2025 03:23:00 PM,47.62025165,-122.324014482243,2025-04-12 15:23:00,Fraud/Bribery,2.0,15
63303914855,03/23/2025 09:55:00 AM,47.60571969,-122.320749185647,2025-03-23 09:55:00,Larceny,4.0,9
61389133103,12/03/2024 12:18:00 PM,47.60172211,-122.334038699999,2024-12-03 12:18:00,Aggravated Assault,10.0,12
61509689175,12/11/2024 04:40:00 PM,47.61814802,-122.32217731214,2024-12-11 16:40:00,Larceny,4.0,16
58335876273,08/13/2024 12:00:00 PM,47.60974973,-122.337792915699,2024-08-13 12:00:00,Narcotics,6.0,12
62264013748,01/14/2025 03:11:00 PM,47.62393445,-122.358019952483,2025-01-14 15:11:00,Assault,8.0,15
60849253431,11/16/2024 05:40:00 PM,47.61966624,-122.324011265223,2024-11-16 17:40:00,Motor Vehicle Theft,3.0,17
59697516272,09/28/2024 09:40:00 AM,47.61907481,-122.324008043358,2024-09-28 09:40:00,Larceny,4.0,9
59130821173,09/12/2024 05:30:00 PM,47.61873954,-122.320854486247,2024-09-12 17:30:00,Motor Vehicle Theft,3.0,17
62465138753,01/24/2025 04:29:00 PM,47.61521615,-122.326495307791,2025-01-24 16:29:00,Larceny,4.0,16
63700563560,04/25/2025 12:00:00 PM,47.61916268,-122.349606734795,2025-04-25 12:00:00,Larceny,4.0,12
61389917785,12/03/2024 02:28:00 PM,47.60570516,-122.31941442163,2024-12-03 14:28:00,Assault,8.0,14
62017311599,12/24/2024 01:19:00 PM,47.6084931,-122.340797599086,2024-12-24 13:19:00,Larceny,4.0,13
58631996454,07/21/2024 05:33:00 PM,47.62269258,-122.3567246,2024-07-21 17:33:00,Larceny,4.0,17
59763632124,09/27/2024 04:00:00 PM,47.61155723,-122.345422124717,2024-09-27 16:00:00,Larceny,4.0,16
60322251383,10/30/2024 04:35:00 PM,47.62144755,-122.335852223338,2024-10-30 16:35:00,Larceny,4.0,16
63641277224,04/15/2025 01:38:00 PM,47.62387613,-122.33713695891,2025-04-15 13:38:00,Fraud/Bribery,2.0,13
57838031070,07/20/2024 01:40:00 PM,47.60530026,-122.338327485672,2024-07-20 13:40:00,Larceny,4.0,13
58767532626,09/05/2024 02:46:00 PM,47.60974973,-122.337792915699,2024-09-05 14:46:00,Property Offenses,4.0,14
59746529574,09/28/2024 12:15:00 PM,47.61857911,-122.349640253949,2024-09-28 12:15:00,Larceny,4.0,12
62039579343,12/28/2024 03:00:00 PM,47.61628073,-122.33357713096804,2024-12-28 15:00:00,Assault,8.0,15
58883621743,09/09/2024 11:20:00 AM,47.609517,-122.338348,2024-09-09 11:20:00,Narcotics,6.0,11
61844415486,12/09/2024 04:00:00 PM,47.60675012,-122.32661091563,2024-12-09 16:00:00,Larceny,4.0,16
60996194744,10/24/2024 11:00:00 AM,47.61909104,-122.334257899999,2024-10-24 11:00:00,Larceny,4.0,11
61067624459,11/28/2024 07:10:00 AM,47.61600094,-122.335086054257,2024-11-28 07:10:00,Motor Vehicle Theft,3.0,7
63964158395,05/13/2025 01:30:00 PM,47.61630241,-122.34749613855,2025-05-13 13:30:00,Motor Vehicle Theft,3.0,13
63334541147,03/26/2025 09:40:00 AM,47.60412807,-122.323443931995,2025-03-26 09:40:00,Assault,8.0,9
63257906190,03/16/2025 12:01:00 PM,47.60842795,-122.32967396959,2025-03-16 12:01:00,Motor Vehicle Theft,3.0,12
63603267281,04/16/2025 12:40:00 PM,47.61260646,-122.345213265822,2025-04-16 12:40:00,Narcotics,6.0,12
61734413556,12/13/2024 07:30:00 AM,47.59829028,-122.333261430545,2024-12-13 07:30:00,Larceny,4.0,7
63110059964,03/08/2025 11:00:00 AM,47.61650698,-122.330990299999,2025-03-08 11:00:00,Motor Vehicle Theft,3.0,11
62833836409,02/17/2025 12:40:00 PM,47.61098068,-122.3235707181,2025-02-17 12:40:00,Larceny,4.0,12
63182365303,02/15/2025 11:00:00 AM,47.62311893,-122.333646874934,2025-02-15 11:00:00,Larceny,4.0,11
63158623033,03/12/2025 09:50:00 AM,47.61351952,-122.320771372479,2025-03-12 09:50:00,Larceny,4.0,9
57772581769,07/19/2024 12:03:00 PM,47.609517,-122.338348,2024-07-19 12:03:00,Narcotics,6.0,12
60169074639,10/21/2024 02:49:00 PM,47.61581932,-122.320807888144,2024-10-21 14:49:00,Larceny,4.0,14
59018647527,09/11/2024 04:45:00 PM,47.60519799,-122.324423057197,2024-09-11 16:45:00,Larceny,4.0,16
59764303059,09/28/2024 01:45:00 PM,47.62319598,-122.335054799999,2024-09-28 13:45:00,Larceny,4.0,13
63786906568,04/29/2025 12:37:00 PM,47.60046424,-122.330807495074,2025-04-29 12:37:00,Fraud/Bribery,2.0,12
59378024035,09/17/2024 03:29:00 PM,47.60241241,-122.331082200967,2024-09-17 15:29:00,Burglary,4.0,15
62001809072,12/24/2024 11:54:00 AM,47.60334108,-122.328860960481,2024-12-24 11:54:00,Assault,8.0,11
63554723391,04/12/2025 03:20:00 PM,47.61021404,-122.336683427904,2025-04-12 15:20:00,Assault,8.0,15
63087639507,03/07/2025 11:48:00 AM,47.61465549,-122.320789509853,2025-03-07 11:48:00,Burglary,4.0,11
62240203747,01/11/2025 10:30:00 AM,47.61145275,-122.343262291431,2025-01-11 10:30:00,Larceny,4.0,10
61376746608,11/23/2024 05:00:00 PM,47.61873029,-122.322862029477,2024-11-23 17:00:00,Larceny,4.0,17
59536640506,09/16/2024 04:00:00 PM,47.60566146,-122.323315199006,2024-09-16 16:00:00,Burglary,4.0,16
59870837566,10/02/2024 11:22:00 AM,47.60957018,-122.32458389147,2024-10-02 11:22:00,Larceny,4.0,11
64841287690,07/06/2025 12:00:00 PM,47.60736381,-122.340216143264,2025-07-06 12:00:00,Larceny,4.0,12
60138491909,10/12/2024 02:40:00 PM,47.62032369,-122.34760603176662,2024-10-12 14:40:00,Larceny,4.0,14
