osmid,y,x,street_count,highway,ref,railway,geometry
29938143,47.6169626,-122.3578197,1,,,,POINT (-122.3578197 47.6169626)
30343852,47.6232711,-122.3554247,1,,,,POINT (-122.3554247 47.6232711)
30343857,47.62069,-122.347594,1,traffic_signals,,,POINT (-122.347594 47.62069)
30345462,47.6125332,-122.3311604,1,traffic_signals,,,POINT (-122.3311604 47.6125332)
53008651,47.6232472,-122.347102,3,,,,POINT (-122.347102 47.6232472)
53018454,47.6120713,-122.3482291,1,traffic_signals,,,POINT (-122.3482291 47.6120713)
53018668,47.6021992,-122.3371674,3,,,,POINT (-122.3371674 47.6021992)
53024165,47.6119819,-122.3480406,1,,,,POINT (-122.3480406 47.6119819)
53025075,47.6231382,-122.3273661,3,,,,POINT (-122.3273661 47.6231382)
53025077,47.6231367,-122.3278253,3,,,,POINT (-122.3278253 47.6231367)
53025087,47.6208478,-122.3272285,1,,,,POINT (-122.3272285 47.6208478)
53036746,47.6099766,-122.3462742,1,,,,POINT (-122.3462742 47.6099766)
53062784,47.6080567,-122.318063,3,,,,POINT (-122.318063 47.6080567)
53062839,47.6080551,-122.3194556,1,turning_circle,,,POINT (-122.3194556 47.6080551)
53062912,47.6115508,-122.3198574,1,,,,POINT (-122.3198574 47.6115508)
53062915,47.6129483,-122.3198573,1,,,,POINT (-122.3198573 47.6129483)
53068784,47.6092332,-122.3180759,4,,,,POINT (-122.3180759 47.6092332)
53068912,47.6163507,-122.32679,1,,,,POINT (-122.32679 47.6163507)
53070142,47.6173721,-122.3413461,1,traffic_signals,,,POINT (-122.3413461 47.6173721)
53070502,47.6145245,-122.3329364,1,traffic_signals,,,POINT (-122.3329364 47.6145245)
53070528,47.6077082,-122.3267127,1,,,,POINT (-122.3267127 47.6077082)
53070531,47.6084173,-122.3273566,1,traffic_signals,,,POINT (-122.3273566 47.6084173)
53071879,47.6017372,-122.3348555,1,,,,POINT (-122.3348555 47.6017372)
53071898,47.6017115,-122.32635,1,stop,,,POINT (-122.32635 47.6017115)
53071906,47.6016973,-122.3224851,3,traffic_signals,,,POINT (-122.3224851 47.6016973)
53071908,47.6016966,-122.3207627,3,traffic_signals,,,POINT (-122.3207627 47.6016966)
53073235,47.602706,-122.3207699,4,,,,POINT (-122.3207699 47.602706)
53073238,47.6035364,-122.3207792,4,,,,POINT (-122.3207792 47.6035364)
53073240,47.6042227,-122.3207871,3,,,,POINT (-122.3207871 47.6042227)
53073244,47.6045918,-122.3207915,4,traffic_signals,,,POINT (-122.3207915 47.6045918)
53073246,47.60621,-122.3207992,4,traffic_signals,,,POINT (-122.3207992 47.60621)
53073248,47.6092355,-122.32081,5,traffic_signals,,,POINT (-122.32081 47.6092355)
53073260,47.6187474,-122.3208514,1,traffic_signals,,,POINT (-122.3208514 47.6187474)
53080401,47.6134905,-122.35349,1,,,,POINT (-122.35349 47.6134905)
53088986,47.5992195,-122.3342463,1,traffic_signals,,,POINT (-122.3342463 47.5992195)
53089002,47.5991463,-122.3237336,1,traffic_signals,,,POINT (-122.3237336 47.5991463)
53089004,47.5992057,-122.3224393,1,traffic_signals,,,POINT (-122.3224393 47.5992057)
53098403,47.6198093,-122.3234759,1,,,,POINT (-122.3234759 47.6198093)
53114052,47.5966661,-122.3224561,1,stop,,,POINT (-122.3224561 47.5966661)
53114220,47.6042469,-122.3254496,1,,,,POINT (-122.3254496 47.6042469)
53114222,47.6057823,-122.3218795,3,traffic_signals,,,POINT (-122.3218795 47.6057823)
53114292,47.6178123,-122.3559748,1,,,,POINT (-122.3559748 47.6178123)
53119472,47.6094336,-122.3298749,1,,,,POINT (-122.3298749 47.6094336)
53119474,47.6130348,-122.329987,1,traffic_signals,,,POINT (-122.329987 47.6130348)
53128099,47.6200877,-122.3501786,4,,,,POINT (-122.3501786 47.6200877)
53128100,47.6209301,-122.350172,3,,,,POINT (-122.350172 47.6209301)
53128134,47.6234173,-122.3488608,1,,,,POINT (-122.3488608 47.6234173)
53128145,47.6197591,-122.3487688,1,traffic_signals,,,POINT (-122.3487688 47.6197591)
53129286,47.6000545,-122.3342459,4,traffic_signals,,,POINT (-122.3342459 47.6000545)
53135836,47.6058843,-122.3381072,1,,,,POINT (-122.3381072 47.6058843)
53142114,47.607893,-122.3238935,1,,,,POINT (-122.3238935 47.607893)
53142115,47.6083724,-122.3227189,1,,,,POINT (-122.3227189 47.6083724)
53142426,47.623133,-122.3317375,1,,,,POINT (-122.3317375 47.623133)
53142435,47.6232704,-122.3541138,1,,,,POINT (-122.3541138 47.6232704)
53142963,47.6086732,-122.3405392,1,,,,POINT (-122.3405392 47.6086732)
53142964,47.6088449,-122.3400015,1,traffic_signals,,,POINT (-122.3400015 47.6088449)
53144268,47.6095874,-122.3269131,1,,,,POINT (-122.3269131 47.6095874)
