u,v,key,osmid,highway,oneway,reversed,length,lanes,maxspeed,name,access,service,geometry,bridge,tunnel,ref
29938143,321336630,0,1314104307,footway,False,False,13.325165681042703,,,,,,"LINESTRING (-122.3578197 47.6169626, -122.3579641 47.6168927)",,,
53018668,5321393680,0,520907982,footway,False,True,47.05443031020015,,,Waterfront Trail,,,"LINESTRING (-122.3371674 47.6021992, -122.3368302 47.6018423)",,,
53018668,3916774511,0,520907982,footway,False,False,26.85766535009205,,,Waterfront Trail,,,"LINESTRING (-122.3371674 47.6021992, -122.3372008 47.6022156, -122.3372116 47.6022275, -122.337353 47.602403)",,,
53018668,10743226133,0,"[1365680640, 1365680641, 1155217797, 551000076, 551000080]",footway,False,False,48.16406282502716,,,,,,"LINESTRING (-122.3371674 47.6021992, -122.3370941 47.60223, -122.3370453 47.6022524, -122.3370202 47.6022639, -122.3369991 47.602273, -122.3369575 47.602291, -122.3368892 47.6023186, -122.3367311 47.6023773, -122.3366488 47.6024112, -122.3366142 47.6024169)",,,
53025077,8362857777,0,900142659,footway,False,False,122.6210195925953,,,,,,"LINESTRING (-122.3278253 47.6231367, -122.3278259 47.6229509, -122.3278623 47.6228926, -122.3278587 47.6220389)",,,
53080401,10666269616,0,1146172080,footway,False,True,13.76641055784911,,,,,,"LINESTRING (-122.35349 47.6134905, -122.3534915 47.6136143)",,,
53128099,3978402449,0,6383224,footway,False,True,4.1575790978971305,,,,,,"LINESTRING (-122.3501786 47.6200877, -122.3501586 47.6200701, -122.3501453 47.6200578)",,,
53128099,3362970447,0,"[511180796, 511180797, 329416222]",footway,False,"[False, True]",56.56339631335216,,,,,,"LINESTRING (-122.3501786 47.6200877, -122.3501989 47.6201353, -122.3502048 47.6201509, -122.3502263 47.6201991, -122.3502355 47.6202731, -122.3502368 47.6203159, -122.350221 47.6203258, -122.3502028 47.6203179, -122.3501706 47.6203003, -122.350119 47.6202895, -122.3500335 47.6202799, -122.3499605 47.6202919, -122.3499071 47.6203255, -122.3499047 47.6203493)",,,
53155727,5320856567,0,550944223,footway,False,True,9.602382003940775,,,,,,"LINESTRING (-122.341285 47.6068483, -122.3413945 47.6068035)",,,
53155727,10713304252,0,"[1151646661, 550944197, 550944223, 1365680619, 1151094975]",footway,False,"[False, True]",41.17466179608047,,,,,,"LINESTRING (-122.341285 47.6068483, -122.3411077 47.6069236, -122.341092 47.6069303, -122.3410745 47.6069373, -122.3410569 47.6069442, -122.3409729 47.6069807, -122.3408937 47.6070155, -122.3408202 47.6070455)",,,
60163291,10248466527,0,"[1120517176, 1120517211]",footway,False,False,25.23785844143384,,,,,,"LINESTRING (-122.3586189 47.6185953, -122.358559 47.6185542, -122.3585572 47.6185416, -122.3583985 47.6184271)",,,
60163291,10248466542,0,"[1120517211, 1120517175]",footway,False,True,16.619034653172932,,,,,,"LINESTRING (-122.3586189 47.6185953, -122.3586574 47.6186217, -122.3587409 47.6186777, -122.3587457 47.6186878, -122.3587711 47.6187023)",,,
130157113,8178366377,0,1070500830,footway,False,True,6.346346716883891,,,,,,"LINESTRING (-122.331118 47.6106574, -122.3310756 47.610608)",yes,,
130157113,130157120,0,"[1174206329, 1174206330, 13866259, 1070500830]",footway,False,False,125.29113704273044,,,,,,"LINESTRING (-122.331118 47.6106574, -122.3311844 47.6107341, -122.3312222 47.6107496, -122.3313967 47.6109533, -122.3314031 47.6109824, -122.3314592 47.6110461, -122.3312086 47.6111498, -122.3310772 47.6111444, -122.3309941 47.6110926, -122.3309193 47.6110466, -122.3307921 47.611038, -122.3306003 47.6111173)",yes,,
130157114,9825393897,0,13866254,footway,False,False,42.51945734977262,,,,,,"LINESTRING (-122.331076 47.6096256, -122.3310782 47.6096678, -122.3310568 47.6097018, -122.3309884 47.6097334, -122.3307876 47.6098259, -122.3307263 47.6098983)",,,
130157114,9818708364,0,13866262,footway,False,True,29.766485227581843,,,,,,"LINESTRING (-122.331076 47.6096256, -122.330972 47.6095032, -122.3310314 47.6094793, -122.3309822 47.6094065)",,,
130157120,9825393900,0,"[1070633778, 13866259]",footway,False,"[False, True]",119.48785913511446,,,,,,"LINESTRING (-122.3306003 47.6111173, -122.330504 47.6110217, -122.3303406 47.6109811, -122.3303281 47.6109631, -122.3303725 47.6108508, -122.3302826 47.6108313, -122.3302721 47.6108071, -122.3303519 47.6105941, -122.3302728 47.6104764, -122.3302911 47.6103825, -122.3303635 47.6102165)",,,
130157120,130157113,0,"[1174206329, 1174206330, 13866259, 1070500830]",footway,False,True,125.29113704273038,,,,,,"LINESTRING (-122.3306003 47.6111173, -122.3307921 47.611038, -122.3309193 47.6110466, -122.3309941 47.6110926, -122.3310772 47.6111444, -122.3312086 47.6111498, -122.3314592 47.6110461, -122.3314031 47.6109824, -122.3313967 47.6109533, -122.3312222 47.6107496, -122.3311844 47.6107341, -122.331118 47.6106574)",yes,,
244416503,11308363561,0,"[1220369195, 1220369197]",footway,False,False,47.585964699226736,,,,,,"LINESTRING (-122.3514714 47.6221015, -122.3514333 47.6220296, -122.351435 47.621678)",,,
281298223,5767145984,0,963221751,footway,False,True,2.1735367937697307,,,,,,"LINESTRING (-122.3323578 47.621311, -122.3323868 47.6213109)",,,
281298223,281300306,0,898636226,footway,False,True,77.26772671447364,,,,,,"LINESTRING (-122.3323578 47.621311, -122.3319389 47.6212954, -122.3318799 47.6213397, -122.3318905 47.6216922)",,,
281299348,657654537,0,25790590,footway,False,True,4.6711334628567,,,,,,"LINESTRING (-122.3326501 47.6218198, -122.3326709 47.6218594)",,,
281299348,281299501,0,25790590,footway,False,False,33.93306620934641,,,,,,"LINESTRING (-122.3326501 47.6218198, -122.3326516 47.6217838, -122.3326747 47.6217282, -122.3327858 47.6215783, -122.3327918 47.6215532, -122.3327842 47.6215355)",,,
281299348,281299349,0,51476457,footway,False,False,18.217393847551097,,,,,,"LINESTRING (-122.3326501 47.6218198, -122.3325524 47.6218464, -122.3324901 47.6218431, -122.332435 47.6218086)",,,
281299349,12900449373,0,25790557,footway,False,False,18.087529764760923,,,,,,"LINESTRING (-122.332435 47.6218086, -122.332375 47.6217912, -122.3322565 47.6218003, -122.3322142 47.6217748)",,,
