buffer,mean_density,std_density,unmapped,multi-mapped
3.0,0.08275988902407293,0.19207543251580175,1755.0,3929.0
4.0,0.12036325529833562,0.234140771379274,1093.0,4591.0
5.0,0.15007040505397742,0.2589446515079517,739.0,4945.0
6.0,0.17981336427438707,0.2810271466227834,591.0,5093.0
7.0,0.20213192638593586,0.29270687315812705,525.0,5159.0
8.0,0.22170583559586696,0.3030712179473394,488.0,5196.0
9.0,0.23831109398305828,0.3101639378723048,462.0,5222.0
10.0,0.25431204437469573,0.31680235081577873,436.0,5248.0
11.0,0.26880613151101745,0.3221008781450306,421.0,5263.0
12.0,0.28082435405945755,0.32658664664334136,402.0,5282.0
13.0,0.2909766971306007,0.3306200017196063,381.0,5303.0
14.0,0.30231727626574295,0.33506086773898175,369.0,5315.0
15.0,0.31311199167191806,0.3386270448473834,357.0,5327.0
