,OBJECTID,SUBTYPECD,HEIGHT,ASSET_ID,HasStreetlight,Field,geometry
81,82,1,40,1321566,Yes,,POINT (-122.355601824267 47.6186770385169)
82,83,1,33,1321585,Yes,,POINT (-122.355301166524 47.6240696585179)
83,84,1,35,1321692,Yes,,POINT (-122.354190271484 47.6235559701643)
85,86,1,25,1374380,Yes,,POINT (-122.347720690873 47.6179414769309)
87,88,1,40,1360561,Yes,,POINT (-122.345102306402 47.6208070357891)
89,90,1,35,1374376,Yes,,POINT (-122.347455007845 47.6184964839102)
90,91,1,30,1360879,Yes,,POINT (-122.347688280627 47.6218831846106)
91,92,1,35,1321565,Yes,,POINT (-122.352937506387 47.619990369245)
92,93,1,30,1360673,Yes,,POINT (-122.350059798543 47.6186739931054)
93,94,1,30,1360888,Yes,,POINT (-122.347692144869 47.6210584832873)
968,969,1,50,1302095,Yes,,POINT (-122.322980743478 47.6236843714209)
969,970,1,55,1302064,Yes,,POINT (-122.322984957331 47.6234448002438)
970,971,1,45,1302094,Yes,,POINT (-122.322985568003 47.6231812452097)
972,973,1,60,1302100,Yes,,POINT (-122.322092043516 47.6242317574666)
973,974,1,55,1302099,Yes,,POINT (-122.322054931032 47.624013998868)
974,975,1,45,1302065,Yes,,POINT (-122.322059934601 47.6237409325305)
975,976,1,50,1302067,Yes,,POINT (-122.322082326566 47.6231792711585)
976,977,1,45,1302069,Yes,,POINT (-122.322485447178 47.6231755753411)
983,984,1,30,1302019,Yes,,POINT (-122.321064281247 47.6241959487262)
984,985,1,30,1301641,Yes,,POINT (-122.320809873809 47.6239392717663)
985,986,1,30,1301642,Yes,,POINT (-122.320810385631 47.6241610540266)
986,987,1,60,1301648,Yes,,POINT (-122.320599779116 47.6242134435765)
992,993,1,50,1301614,Yes,,POINT (-122.319814700434 47.6236977822472)
993,994,1,50,1301613,Yes,,POINT (-122.319812094004 47.6235453616407)
994,995,1,47,1301623,Yes,,POINT (-122.318923105863 47.6235325423353)
995,996,1,50,1301625,Yes,,POINT (-122.31890604181 47.6239144942927)
998,999,1,45,1301621,Yes,,POINT (-122.318936529451 47.6231660013858)
1000,1001,1,30,1301297,Yes,,POINT (-122.320808807002 47.6232089169949)
1001,1002,1,30,1301639,Yes,,POINT (-122.32080907985 47.6233814616744)
1002,1003,1,30,1301640,Yes,,POINT (-122.320804191602 47.6235977975399)
1003,1004,1,30,1302013,Yes,,POINT (-122.321054592565 47.6233680096014)
1004,1005,1,30,1302012,Yes,,POINT (-122.32104952837 47.6232112881901)
1005,1006,1,50,1302020,Yes,,POINT (-122.321222395288 47.6231765451928)
1006,1007,1,65,1301622,Yes,,POINT (-122.318517934968 47.6231584635075)
1007,1008,1,50,1301585,Yes,,POINT (-122.317869975326 47.6233627034005)
1008,1009,1,50,1301584,Yes,,POINT (-122.317861388371 47.6236949065543)
1012,1013,1,50,1301579,Yes,,POINT (-122.318311780124 47.6242243982962)
1061,1062,1,47,1301617,Yes,,POINT (-122.318937523718 47.6222709636391)
1062,1063,1,47,1301618,Yes,,POINT (-122.318934518169 47.6225577605841)
1063,1064,1,50,1301619,Yes,,POINT (-122.31893163276 47.6227868040949)
1064,1065,1,47,1301607,Yes,,POINT (-122.319844294135 47.6225857099069)
1065,1066,1,47,1301608,Yes,,POINT (-122.319844203115 47.6223144893665)
1066,1067,1,30,1301609,Yes,,POINT (-122.320782601489 47.6220660562526)
1067,1068,1,30,1301610,Yes,,POINT (-122.320786145141 47.6223137354435)
1068,1069,1,30,1301407,Yes,,POINT (-122.320813260449 47.6218728370187)
1069,1070,1,30,1301169,Yes,,POINT (-122.321031981955 47.6220934672225)
1070,1071,1,30,1301165,Yes,,POINT (-122.321038145641 47.6225151546092)
1071,1072,1,30,1301142,Yes,,POINT (-122.321040143043 47.6227704219672)
1072,1073,1,30,1301650,Yes,,POINT (-122.320794072911 47.6230401096445)
