OBJECTID,YEAR,AMI,RACE,TENURE,AGE,TOTAL,BURDEN30,BURDEN3050,BURDEN50,NODATA,NOBURDEN,PERCENT30,PERCENT3050,PERCENT50,PERCENT_NODATA,PERCENT_NOBURDEN,INCOME,COSTS
1,2006,0 - 30%,All,All,All,40419,31789,6676,25113,1496,7134,0.786486553353621,0.165169845864569,0.621316707489052,0.0370122961973329,0.176501150449046,9337.6656275514,727.945
2,2006,0 - 30%,All,All,Seniors,12011,7581,2640,4941,201,4229,0.631171426192657,0.219798518025144,0.411372908167513,0.0167346598950962,0.352093913912247,10097.4331862459,574.828
3,2006,0 - 30%,All,All,Children,6719,5665,1027,4638,361,693,0.843131418365828,0.152850126506921,0.690281291858908,0.0537282333680607,0.103140348266111,11837.2302425956,906.026
4,2006,0 - 30%,All,Owners,All,7034,6037,800,5237,269,728,0.85825988058004,0.113733295422235,0.744526585157805,0.0382428205857265,0.103497298834234,9762.92863235712,1121.265
5,2006,0 - 30%,All,Owners,Seniors,3242,2348,489,1859,0,894,0.724244293645898,0.150832819247378,0.573411474398519,0,0.275755706354102,11201.7859346083,760.382
6,2006,0 - 30%,All,Owners,Children,624,624,0,624,0,0,1,0,1,0,0,9835.09615384615,1645.559
7,2006,0 - 30%,All,Renters,All,33385,25752,5876,19876,1227,6406,0.771364385202935,0.176007188857271,0.595357196345664,0.0367530327991613,0.191882581997903,9248.06550846188,582.089
8,2006,0 - 30%,All,Renters,Seniors,8769,5233,2151,3082,201,3335,0.596761318280306,0.245295928840233,0.351465389440073,0.0229216558330482,0.380317025886646,9689.14129319193,440.547
9,2006,0 - 30%,All,Renters,Children,6095,5041,1027,4014,361,693,0.82707136997539,0.168498769483183,0.658572600492207,0.0592288761279737,0.113699753896637,12042.2067268253,763.745
10,2006,0 - 30%,White,All,All,22788,17510,3321,14189,608,4670,0.768386870282605,0.145734597156398,0.622652273126207,0.0266807091451641,0.204932420572231,9361.94861330525,742.368
11,2006,0 - 30%,White,All,Seniors,6840,4433,1375,3058,119,2288,0.648099415204678,0.201023391812865,0.447076023391813,0.0173976608187135,0.334502923976608,10207.1374269006,614.204
12,2006,0 - 30%,White,All,Children,2001,1635,122,1513,162,204,0.817091454272864,0.0609695152423788,0.756121939030485,0.0809595202398801,0.101949025487256,10154.3628185907,1013.151
13,2006,0 - 30%,White,Owners,All,5075,4236,501,3735,115,724,0.834679802955665,0.0987192118226601,0.735960591133005,0.0226600985221675,0.142660098522167,9875.12709359606,1157.855
14,2006,0 - 30%,White,Owners,Seniors,2155,1419,304,1115,0,736,0.6584686774942,0.141067285382831,0.517401392111369,0,0.3415313225058,11207.1554524362,771.679
15,2006,0 - 30%,White,Owners,Children,515,515,0,515,0,0,1,0,1,0,0,10223.4951456311,1688.219
16,2006,0 - 30%,White,Renters,All,17713,13274,2820,10454,493,3946,0.749393101112177,0.159205103596229,0.590187997515949,0.0278326652740925,0.22277423361373,9214.91644554847,564.099
17,2006,0 - 30%,White,Renters,Seniors,4685,3014,1071,1943,119,1552,0.64332977588047,0.228601921024546,0.414727854855923,0.0254002134471718,0.331270010672359,9747.15048025614,480.359
18,2006,0 - 30%,White,Renters,Children,1486,1120,122,998,162,204,0.753701211305518,0.0820995962314939,0.671601615074024,0.109017496635262,0.137281292059219,10130.4037685061,748.495
19,2006,0 - 30%,Black,All,All,6418,5641,1077,4564,216,561,0.878934247429106,0.16780928638205,0.711124961047055,0.0336553443440324,0.087410408226862,10735.3505765036,757.932
20,2006,0 - 30%,Black,All,Seniors,1265,1188,403,785,0,77,0.939130434782609,0.318577075098814,0.620553359683794,0,0.0608695652173913,11185.5889328063,620.224
21,2006,0 - 30%,Black,All,Children,2626,2127,306,1821,78,421,0.80997715156131,0.116527037319117,0.693450114242193,0.0297029702970297,0.16031987814166,14552.7456207159,801.089
22,2006,0 - 30%,Black,Owners,All,840,763,185,578,0,77,0.908333333333333,0.220238095238095,0.688095238095238,0,0.0916666666666667,10403.4523809524,1284.119
23,2006,0 - 30%,Black,Owners,Seniors,519,442,185,257,0,77,0.851637764932563,0.35645472061657,0.495183044315992,0,0.148362235067437,13929.8651252408,693.609
24,2006,0 - 30%,Black,Owners,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
25,2006,0 - 30%,Black,Renters,All,5578,4878,892,3986,216,484,0.874506991753317,0.159913947651488,0.714593044101829,0.0387235568304052,0.0867694514162782,10785.3316600932,730.545
26,2006,0 - 30%,Black,Renters,Seniors,746,746,218,528,0,0,1,0.292225201072386,0.707774798927614,0,0,9276.3672922252,542.788
27,2006,0 - 30%,Black,Renters,Children,2626,2127,306,1821,78,421,0.80997715156131,0.116527037319117,0.693450114242193,0.0297029702970297,0.16031987814166,14552.7456207159,801.089
28,2006,0 - 30%,Native,All,All,998,714,0,714,0,284,0.715430861723447,0,0.715430861723447,0,0.284569138276553,12171.5430861723,589.629
29,2006,0 - 30%,Native,All,Seniors,284,0,0,0,0,284,0,0,0,0,1,7200,170
30,2006,0 - 30%,Native,All,Children,201,201,0,201,0,0,1,0,1,0,0,15500,950
31,2006,0 - 30%,Native,Owners,All,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
32,2006,0 - 30%,Native,Owners,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
33,2006,0 - 30%,Native,Owners,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
34,2006,0 - 30%,Native,Renters,All,998,714,0,714,0,284,0.715430861723447,0,0.715430861723447,0,0.284569138276553,12171.5430861723,589.629
35,2006,0 - 30%,Native,Renters,Seniors,284,0,0,0,0,284,0,0,0,0,1,7200,170
36,2006,0 - 30%,Native,Renters,Children,201,201,0,201,0,0,1,0,1,0,0,15500,950
37,2006,0 - 30%,Asian,All,All,5753,4267,1637,2630,518,968,0.741699982617765,0.28454719276899,0.457152789848775,0.0900399791413176,0.168260038240918,8809.50495393708,596.964
38,2006,0 - 30%,Asian,All,Seniors,2701,1351,696,655,82,1268,0.500185116623473,0.257682339874121,0.242502776749352,0.0303591262495372,0.46945575712699,9595.80895964458,532.496
39,2006,0 - 30%,Asian,All,Children,919,848,542,306,121,-50,0.922742110990207,0.589771490750816,0.332970620239391,0.131664853101197,-0.0544069640914037,11280.957562568,577.348
40,2006,0 - 30%,Asian,Owners,All,564,483,114,369,0,81,0.856382978723404,0.202127659574468,0.654255319148936,0,0.143617021276596,10187.7127659574,832.287
41,2006,0 - 30%,Asian,Owners,Seniors,357,276,0,276,0,81,0.773109243697479,0,0.773109243697479,0,0.226890756302521,6790.67226890756,932.513
42,2006,0 - 30%,Asian,Owners,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
43,2006,0 - 30%,Asian,Renters,All,5189,3784,1523,2261,518,887,0.729234920023126,0.293505492387743,0.435729427635383,0.0998265561765273,0.170938523800347,8659.70553093081,536.393
44,2006,0 - 30%,Asian,Renters,Seniors,2344,1075,696,379,82,1187,0.458617747440273,0.296928327645051,0.161689419795222,0.0349829351535836,0.506399317406143,10023.0418088737,403.951
45,2006,0 - 30%,Asian,Renters,Children,919,848,542,306,121,-50,0.922742110990207,0.589771490750816,0.332970620239391,0.131664853101197,-0.0544069640914037,11280.957562568,577.348
46,2006,0 - 30%,Pacific Islander,All,All,145,145,0,145,0,0,1,0,1,0,0,13200,830
47,2006,0 - 30%,Pacific Islander,All,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
48,2006,0 - 30%,Pacific Islander,All,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
49,2006,0 - 30%,Pacific Islander,Owners,All,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
50,2006,0 - 30%,Pacific Islander,Owners,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
51,2006,0 - 30%,Pacific Islander,Owners,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
52,2006,0 - 30%,Pacific Islander,Renters,All,145,145,0,145,0,0,1,0,1,0,0,13200,830
53,2006,0 - 30%,Pacific Islander,Renters,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
54,2006,0 - 30%,Pacific Islander,Renters,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
55,2006,0 - 30%,Other,All,All,109,109,0,109,0,0,1,0,1,0,0,8000,1444
56,2006,0 - 30%,Other,All,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
57,2006,0 - 30%,Other,All,Children,109,109,0,109,0,0,1,0,1,0,0,8000,1444
58,2006,0 - 30%,Other,Owners,All,109,109,0,109,0,0,1,0,1,0,0,8000,1444
59,2006,0 - 30%,Other,Owners,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
60,2006,0 - 30%,Other,Owners,Children,109,109,0,109,0,0,1,0,1,0,0,8000,1444
61,2006,0 - 30%,Other,Renters,All,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
62,2006,0 - 30%,Other,Renters,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
63,2006,0 - 30%,Other,Renters,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
64,2006,0 - 30%,Multi,All,All,933,839,325,514,0,94,0.89924973204716,0.348338692390139,0.55091103965702,0,0.10075026795284,7268.48874598071,574.67
65,2006,0 - 30%,Multi,All,Seniors,104,104,0,104,0,0,1,0,1,0,0,13800,850
66,2006,0 - 30%,Multi,All,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
67,2006,0 - 30%,Multi,Owners,All,81,81,0,81,0,0,1,0,1,0,0,8500,1492
68,2006,0 - 30%,Multi,Owners,Seniors,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
69,2006,0 - 30%,Multi,Owners,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
70,2006,0 - 30%,Multi,Renters,All,852,758,325,433,0,94,0.889671361502347,0.381455399061033,0.508215962441315,0,0.110328638497653,7151.40845070423,466.273
71,2006,0 - 30%,Multi,Renters,Seniors,104,104,0,104,0,0,1,0,1,0,0,13800,850
72,2006,0 - 30%,Multi,Renters,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
73,2006,0 - 30%,Hispanic,All,All,3275,2564,316,2248,154,557,0.782900763358779,0.0964885496183206,0.686412213740458,0.0470229007633588,0.170076335877863,6956.87328244275,632.106
74,2006,0 - 30%,Hispanic,All,Seniors,817,505,166,339,0,312,0.618115055079559,0.203182374541004,0.414932680538556,0,0.381884944920441,9688.37209302326,282.876
75,2006,0 - 30%,Hispanic,All,Children,863,745,57,688,0,118,0.863267670915411,0.0660486674391657,0.797219003476246,0,0.136732329084589,7700.18539976825,831.482
76,2006,0 - 30%,Hispanic,Owners,All,365,365,0,365,154,-154,1,0,1,0.421917808219178,-0.421917808219178,6879.17808219178,505.605
77,2006,0 - 30%,Hispanic,Owners,Seniors,211,211,0,211,0,0,1,0,1,0,0,11900,518
78,2006,0 - 30%,Hispanic,Owners,Children,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
79,2006,0 - 30%,Hispanic,Renters,All,2910,2199,316,1883,0,711,0.755670103092783,0.108591065292096,0.647079037800687,0,0.244329896907216,6966.61855670103,507.472
