OBJECTID,YEAR,RACE,TENURE,AGE,F0___30_,F30___50_,F50___80_,F80___120_,Above_120_,All_
1,2006,All,All,All,0.621316707489052,0.302548875949562,0.159503839338452,0.103789126853377,0.0116265298065535,0.177459060672007
2,2006,All,All,Children,0.690281291858908,0.396617566830333,0.234120385766545,0.116342678519097,0.0128320239431351,0.169283813664131
3,2006,All,All,Seniors,0.411372908167513,0.223523220628865,0.189381636477202,0.067350332594235,0.00786288541390582,0.18917923383602
4,2006,All,Owners,All,0.744526585157805,0.424514370101102,0.313725490196078,0.18996,0.0152282951548684,0.147770977058797
5,2006,All,Owners,Children,1,0.764922623434046,0.530920060331825,0.172558139534884,0.0145295886813233,0.13046987604497
6,2006,All,Owners,Seniors,0.573411474398519,0.24853875476493,0.183339142558383,0.0480879322189146,0.00915261209378856,0.155076649633415
7,2006,All,Renters,All,0.595357196345664,0.239871570344425,0.0708172075022328,0.0146480738196715,0,0.209069615513313
8,2006,All,Renters,Children,0.658572600492207,0.180164573408402,0,0.020596778452601,0,0.241379310344828
9,2006,All,Renters,Seniors,0.351465389440073,0.196672122204037,0.204675782973092,0.0968760968760969,0,0.237281938786169
10,2006,Asian,All,All,0.457152789848775,0.350523993381136,0.154176201372998,0.116921558954119,0.0584707646176912,0.204799652513845
11,2006,Asian,All,Children,0.332970620239391,0.218790218790219,0.341035120147874,0.0862068965517241,0.0351859256297481,0.15722990043097
12,2006,Asian,All,Seniors,0.242502776749352,0.161100196463654,0.308529945553539,0,0.0688321732405259,0.164806604494726
13,2006,Asian,Owners,All,0.654255319148936,0.580368906455863,0.4171826625387,0.179003021148036,0.0735208816705336,0.211136076393765
14,2006,Asian,Owners,Children,0,0.64638783269962,0.807439824945295,0.0862068965517241,0.0351859256297481,0.160993363305502
15,2006,Asian,Owners,Seniors,0.773109243697479,0.393285371702638,0.359408033826638,0,0.086073500967118,0.242371705963939
16,2006,Asian,Renters,All,0.435729427635383,0.185009487666034,0,0,0,0.198057527082555
17,2006,Asian,Renters,Children,0.332970620239391,0,0,0,0,0.14868804664723
18,2006,Asian,Renters,Seniors,0.161689419795222,0,0,0,0,0.103636860814876
19,2006,Black,All,All,0.711124961047055,0.131221719457014,0.0746073298429319,0.156657963446475,0.0210906899668575,0.332556999264526
20,2006,Black,All,Children,0.693450114242193,0.304477611940298,0,0.258823529411765,0.0611888111888112,0.424780567462748
21,2006,Black,All,Seniors,0.620553359683794,0,0.173824130879346,0,0,0.306770098730607
22,2006,Black,Owners,All,0.688095238095238,0.171140939597315,0.0727580372250423,0.339622641509434,0.0311111111111111,0.201754385964912
23,2006,Black,Owners,Children,0,1,0,0.571428571428571,0.0813008130081301,0.197718631178707
24,2006,Black,Owners,Seniors,0.495183044315992,0,0,0,0,0.1689677843524
25,2006,Black,Renters,All,0.714593044101829,0.114142139267767,0.0765765765765766,0,0,0.407200616095495
26,2006,Black,Renters,Children,0.693450114242193,0,0,0,0,0.508091517857143
27,2006,Black,Renters,Seniors,0.707774798927614,0,0.472222222222222,0,0,0.466159695817491
28,2006,Hispanic,All,All,0.686412213740458,0.210263720598717,0.0229459659511473,0.105397365065873,0.0518487037824054,0.246152573225219
29,2006,Hispanic,All,Children,0.797219003476246,0.398110661268556,0.0935143288084465,0.138639281129653,0,0.300260416666667
30,2006,Hispanic,All,Seniors,0.414932680538556,0,0,0,0,0.319811320754717
31,2006,Hispanic,Owners,All,1,1,0.157760814249364,0.422487223168654,0.0812250332889481,0.326765188834154
32,2006,Hispanic,Owners,Children,0,1,0.442857142857143,0.3008356545961,0,0.281345565749235
33,2006,Hispanic,Owners,Seniors,1,0,0,0,0,0.582872928176796
34,2006,Hispanic,Renters,All,0.647079037800687,0.0804979253112033,0,0,0,0.219002322751908
35,2006,Hispanic,Renters,Children,0.797219003476246,0.178637200736648,0,0,0,0.310031595576619
36,2006,Hispanic,Renters,Seniors,0.211221122112211,0,0,0,0,0.183381088825215
37,2006,Multi,All,All,0.55091103965702,0.54673721340388,0.191092698083894,0.44290288153682,0,0.264039408866995
38,2006,Multi,All,Children,0,0,0,0,0,0
39,2006,Multi,All,Seniors,1,0,0.583333333333333,0,0,0.758064516129032
40,2006,Multi,Owners,All,1,0,0.354430379746835,0.841784989858012,0,0.308346624136098
41,2006,Multi,Owners,Children,0,0,0,0,0,0
42,2006,Multi,Owners,Seniors,0,0,1,0,0,1
43,2006,Multi,Renters,All,0.508215962441315,0.54673721340388,0.168240850059032,0,0,0.24423853646947
44,2006,Multi,Renters,Children,0,0,0,0,0,0
45,2006,Multi,Renters,Seniors,1,0,0,0,0,0.634146341463415
46,2006,Native,All,All,0.715430861723447,0,0,0,0,0.367851622874807
47,2006,Native,All,Children,1,0,0,0,0,0.624223602484472
48,2006,Native,All,Seniors,0,0,0,0,0,0
49,2006,Native,Owners,All,0,0,0,0,0,0
50,2006,Native,Owners,Children,0,0,0,0,0,0
51,2006,Native,Owners,Seniors,0,0,0,0,0,0
52,2006,Native,Renters,All,0.715430861723447,0,0,0,0,0.434570906877663
53,2006,Native,Renters,Children,1,0,0,0,0,0.624223602484472
54,2006,Native,Renters,Seniors,0,0,0,0,0,0
