ImageID,Latitude,Longitude,PanoID,Date,Walkability Score,Image Name,Elevation
image_0,47.608058,-122.3181601,EaKpq8gbO9abP5s-ZhVU8w,2022-08,2.80745235,image_0,94
image_1,47.6086747,-122.3292704,xWZq4UJL8TsmL-c0WJuJzg,2021-07,0.40876701,image_1,77
image_2,47.6080616,-122.3188691,s8NA17XTa4MPQMZjCcC7tQ,2022-08,3.45506187,image_2,102
image_3,47.6163758,-122.3234327,8QOqvlEC61FuIbL4p6eVPg,2021-07,1.76494963,image_3,87
image_4,47.609318,-122.319385,DanQscSGH794WiL_tjK_sQ,2022-08,2.74339899,image_4,107
image_5,47.6239531,-122.3209435,5D5b3pKA_zc28TREjYEVsw,2021-12,-2.0497595,image_5,104
image_6,47.6045696,-122.331706,E-Wqo_Xq7CMZ5C_tuJ5R0w,2021-12,1.12808425,image_6,40
image_7,47.6182309,-122.3386876,cK-tDYHbowrxI5oU-qEwUw,2022-08,3.24894007,image_7,28
image_8,47.605807,-122.3220753,5gEg9-Tc1I_gltyh2eZLEQ,2021-11,1.29379226,image_8,104
image_9,47.5966664,-122.322595,Dn-DT80_0h6uZR_TBHVNgg,2021-07,2.53531987,image_9,18
image_10,47.618752,-122.3581676,CAoSLEFGMVFpcE1TTTR4SDMtYTVoV1ptLVFJQV90TUY5WkVxN1gwV1poYXpnRDgx,2019-01,0.58900065,image_10,10
image_11,47.6150809,-122.3374147,BXF1GdYV6PBTW9WAn7i__g,2021-12,3.007631,image_11,35
image_12,47.599568,-122.3196443,tflt8pqqJKPXqeOVfiqemw,2019-06,1.99708318,image_12,48
image_13,47.6121511,-122.3402044,bnuqKiZ3CHQ7LdwZfktacQ,2021-12,1.90245316,image_13,56
image_14,47.6134953,-122.3352634,9K0FyoDKKi2ynK5-CEZ34w,2021-12,2.38265385,image_14,66
image_15,47.5999658,-122.3356673,Sb6X1OOIGvvSnUd67BO6Kw,2023-02,1.89077839,image_15,4
image_16,47.6001253,-122.3343353,gLr8urUQg-rJgI4s3gKRTQ,2021-07,2.16188679,image_16,14
image_17,47.6134325,-122.3520462,PsD75Y-AUvgBZK6IqNX1pQ,2021-07,2.63956695,image_17,6
image_18,47.6169318,-122.3570853,C48z0kDEIG8QSnDEALuJoQ,2014-05,2.73718402,image_18,0
image_19,47.6208928,-122.3252245,isn207s2a49hvWqSt-zIpA,2021-11,2.00648421,image_19,84
image_20,47.622834,-122.3541654,CAoSLEFGMVFpcE5BT2d6VW1QQXRFWmx3bU15d29vbTdyY0x4UVloT2U4aDlacmZW,2016-05,3.14321484,image_20,44
image_21,47.621481,-122.3220361,Yj7rSq7_tbyjgJEghR7H9Q,2021-07,1.50671612,image_21,103
image_22,47.6148053,-122.3361875,aqTqS2XTPGny9UpCcypqAw,2021-12,3.43231744,image_22,51
image_23,47.6181416,-122.3382261,omDIxmmI_kO8HcNdz1xRWQ,2022-08,1.28349838,image_23,25
image_24,47.5990523,-122.3277698,7QDe6CGqIsCgJ6LFLsSW-w,2023-02,1.78649522,image_24,14
image_25,47.6184434,-122.3551418,oCg4gx2xm9FM0y0iR4GRbA,2021-12,1.64589243,image_25,20
image_26,47.6162546,-122.3535989,CAoSLEFGMVFpcFB5MW11MFloelBpY1NqZUV5ajNvNDV6RDlDelpDcktYaElEWFAy,2016-09,2.65274174,image_26,10
image_27,47.6075016,-122.3188386,CAoSLEFGMVFpcFBVQmZZVnJhblI1VzVmMmxlU2x1SlZ4MWx2WWowRFZHZjAtTEYt,2022-02,2.3265994,image_27,102
image_28,47.6161267,-122.3313659,49SSh1JO52LNvZGKt7rpRw,2022-11,0.31814254,image_28,46
image_29,47.606629,-122.3224841,oKm5pCmhU_ht6C-iCXJlMg,2023-05,2.39745235,image_29,105
image_30,47.598649,-122.3262656,aqf_UEAay8FbrUIWUPN33g,2022-09,2.02688057,image_30,18
image_31,47.6079824,-122.3420353,95PeT2-5iD0ShQ2rp98qtw,2022-09,0.28675986,image_31,7
image_32,47.6189022,-122.320341,CAoSLEFGMVFpcE9FaDZHb3YtVVVpTEd2MjhHU2RCQmhwU09sOWhzVDEzZHZvRGZn,2020-04,2.37651735,image_32,102
image_33,47.6035843,-122.3182205,klz_NKqFUCb6N7OsWLYM_g,2019-05,0.99184012,image_33,81
image_34,47.604547,-122.3261103,-0zJPNWGr6cCFoAtT2TpCQ,2023-05,0.77744594,image_34,75
image_35,47.6219695,-122.3177454,CwnwjeqDXnnn_plDcerSsQ,2019-05,0.87228462,image_35,106
image_36,47.6018548,-122.3276557,OvDPKNSYcLbxOesbyEcvWg,2021-08,1.52688927,image_36,36
image_37,47.6242205,-122.3428173,agPSiJuwpg2GqTDq-dhS7w,2019-05,2.51179394,image_37,18
image_38,47.6099967,-122.3403062,YHfrNxfQHsl2vcBfABqxrw,2021-12,2.56153178,image_38,40
image_39,47.6126568,-122.352524,Wv1seXYJJ0CtO4Nkb6OgLA,2021-12,2.21916939,image_39,4
image_40,47.6112033,-122.3487955,CAoSK0FGMVFpcE9MVzBFejF2YVVLYnJ6OGRtZkNmeGZoN3BrQ21ib1Znenhfems.,2021-08,2.67484961,image_40,5
image_41,47.6196977,-122.3579536,1wRgnLXyzzgVyAFVyy3L4g,2019-05,2.86165613,image_41,11
image_42,47.6077887,-122.3312271,tJbbuz4YSZdqnwXksG5DeQ,2021-12,2.39882793,image_42,72
image_43,47.6121086,-122.3291288,H_6mzTMTh2EnOXYVMRR68Q,2021-12,2.19268869,image_43,81
image_44,47.6164236,-122.3235469,JahmgzaTFgdcqPSv9GLLIQ,2021-12,2.1122034,image_44,87
image_45,47.6043014,-122.3203789,bImWxcldzfWD2Mmw61ESdQ,2019-05,1.742691,image_45,102
image_46,47.6117643,-122.3180637,CAoSLEFGMVFpcFBIU002Y2Y4R3VJTHNjXy1XS2VPQnFNVXV5Y3hlVU5RZkd2ZVlz,2019-09,-0.4359501,image_46,92
