y,x,street_count,highway,ref,geometry
47.6169626,-122.3578197,1,,,POINT (-122.3578197 47.6169626)
47.6196851,-122.3291255,4,,,POINT (-122.3291255 47.6196851)
47.6084406,-122.331992,4,traffic_signals,,POINT (-122.331992 47.6084406)
47.6232711,-122.3554247,4,,,POINT (-122.3554247 47.6232711)
47.6209217,-122.3528255,4,,,POINT (-122.3528255 47.6209217)
47.62069,-122.347594,3,traffic_signals,,POINT (-122.347594 47.62069)
47.6185639,-122.3437825,4,traffic_signals,,POINT (-122.3437825 47.6185639)
47.6185631,-122.3435864,4,traffic_signals,,POINT (-122.3435864 47.6185631)
47.617525,-122.3297178,3,traffic_signals,,POINT (-122.3297178 47.617525)
47.6166538,-122.3278808,4,traffic_signals,,POINT (-122.3278808 47.6166538)
47.6125332,-122.3311604,4,traffic_signals,,POINT (-122.3311604 47.6125332)
47.6208885,-122.3437889,3,traffic_signals,,POINT (-122.3437889 47.6208885)
47.6117471,-122.347042,3,,,POINT (-122.347042 47.6117471)
47.6232474,-122.347513,4,,,POINT (-122.347513 47.6232474)
47.6232472,-122.347102,3,,,POINT (-122.347102 47.6232472)
47.6061206,-122.337541,3,traffic_signals,,POINT (-122.337541 47.6061206)
47.6120713,-122.3482291,4,traffic_signals,,POINT (-122.3482291 47.6120713)
47.6021992,-122.3371674,3,,,POINT (-122.3371674 47.6021992)
47.6119819,-122.3480406,3,,,POINT (-122.3480406 47.6119819)
47.6231382,-122.3273661,3,,,POINT (-122.3273661 47.6231382)
47.6231367,-122.3278253,3,,,POINT (-122.3278253 47.6231367)
47.62198,-122.3272247,4,,,POINT (-122.3272247 47.62198)
47.6208478,-122.3272285,3,,,POINT (-122.3272285 47.6208478)
47.622071,-122.3449973,4,traffic_signals,,POINT (-122.3449973 47.622071)
47.6099766,-122.3462742,3,,,POINT (-122.3462742 47.6099766)
47.6196122,-122.3265882,3,,,POINT (-122.3265882 47.6196122)
47.607744,-122.3313384,4,traffic_signals,,POINT (-122.3313384 47.607744)
47.6080567,-122.318063,3,,,POINT (-122.318063 47.6080567)
47.6080551,-122.3194556,1,turning_circle,,POINT (-122.3194556 47.6080551)
47.6115508,-122.3198574,3,,,POINT (-122.3198574 47.6115508)
47.6121857,-122.3198574,3,,,POINT (-122.3198574 47.6121857)
47.6129483,-122.3198573,3,,,POINT (-122.3198573 47.6129483)
47.6035235,-122.3181146,4,,,POINT (-122.3181146 47.6035235)
47.6043616,-122.3181152,4,,,POINT (-122.3181152 47.6043616)
47.6052058,-122.318114,4,,,POINT (-122.318114 47.6052058)
47.6062098,-122.3181203,3,,,POINT (-122.3181203 47.6062098)
47.6092332,-122.3180759,4,,,POINT (-122.3180759 47.6092332)
47.6123094,-122.3180452,3,traffic_signals,,POINT (-122.3180452 47.6123094)
47.6129415,-122.318142,4,stop,,POINT (-122.318142 47.6129415)
47.6140997,-122.318145,4,stop,,POINT (-122.318145 47.6140997)
47.6164294,-122.3181791,3,,,POINT (-122.3181791 47.6164294)
47.6176072,-122.3181951,3,,,POINT (-122.3181951 47.6176072)
47.6163507,-122.32679,4,,,POINT (-122.32679 47.6163507)
47.6163509,-122.3261869,4,,,POINT (-122.3261869 47.6163509)
47.6163452,-122.3254951,3,,,POINT (-122.3254951 47.6163452)
47.6163575,-122.3244978,4,,,POINT (-122.3244978 47.6163575)
47.6163758,-122.3234327,4,,,POINT (-122.3234327 47.6163758)
47.6163962,-122.3221635,3,,,POINT (-122.3221635 47.6163962)
47.6133735,-122.3465185,4,traffic_signals,,POINT (-122.3465185 47.6133735)
47.6140301,-122.3456726,4,traffic_signals,,POINT (-122.3456726 47.6140301)
47.6147024,-122.3447995,4,traffic_signals,,POINT (-122.3447995 47.6147024)
47.6153642,-122.3439414,4,traffic_signals,,POINT (-122.3439414 47.6153642)
47.6159934,-122.3431315,4,traffic_signals,,POINT (-122.3431315 47.6159934)
47.6166958,-122.3422208,4,traffic_signals,,POINT (-122.3422208 47.6166958)
47.6173721,-122.3413461,4,traffic_signals,,POINT (-122.3413461 47.6173721)
47.6180335,-122.34049,4,stop,,POINT (-122.34049 47.6180335)
47.6185454,-122.3398612,4,traffic_signals,,POINT (-122.3398612 47.6185454)
47.6145245,-122.3329364,4,traffic_signals,,POINT (-122.3329364 47.6145245)
47.6148131,-122.3331843,4,traffic_signals,,POINT (-122.3331843 47.6148131)
47.615616,-122.3344308,4,traffic_signals,,POINT (-122.3344308 47.615616)
47.6163879,-122.3357275,4,traffic_signals,,POINT (-122.3357275 47.6163879)
47.6171603,-122.337045,4,stop,,POINT (-122.337045 47.6171603)
47.6177598,-122.3383398,4,traffic_signals,,POINT (-122.3383398 47.6177598)
47.6185431,-122.3391482,3,,,POINT (-122.3391482 47.6185431)
47.6027128,-122.322146,3,stop,,POINT (-122.322146 47.6027128)
47.6048538,-122.324104,4,stop,,POINT (-122.324104 47.6048538)
47.6055624,-122.3247477,4,traffic_signals,,POINT (-122.3247477 47.6055624)
47.6062742,-122.3254044,4,stop,,POINT (-122.3254044 47.6062742)
47.6069932,-122.3260554,4,,,POINT (-122.3260554 47.6069932)
47.6077082,-122.3267127,4,,,POINT (-122.3267127 47.6077082)
47.6084173,-122.3273566,4,traffic_signals,,POINT (-122.3273566 47.6084173)
47.6091256,-122.3280124,4,traffic_signals,,POINT (-122.3280124 47.6091256)
47.6098388,-122.3286781,4,traffic_signals,,POINT (-122.3286781 47.6098388)
47.6208682,-122.3371736,4,stop,,POINT (-122.3371736 47.6208682)
47.6232139,-122.3371661,4,stop,,POINT (-122.3371661 47.6232139)
47.6017393,-122.3355425,3,,,POINT (-122.3355425 47.6017393)
47.6017372,-122.3348555,4,,,POINT (-122.3348555 47.6017372)
47.6017368,-122.3342296,4,traffic_signals,,POINT (-122.3342296 47.6017368)
47.6017297,-122.3328654,3,,,POINT (-122.3328654 47.6017297)
47.6017285,-122.3319771,4,traffic_signals,,POINT (-122.3319771 47.6017285)
47.6017269,-122.331432,4,crossing,,POINT (-122.331432 47.6017269)
47.6017203,-122.330277,5,traffic_signals,,POINT (-122.330277 47.6017203)
47.6017115,-122.32635,4,stop,,POINT (-122.32635 47.6017115)
47.6016973,-122.3224851,4,traffic_signals,,POINT (-122.3224851 47.6016973)
47.6016966,-122.3207627,3,traffic_signals,,POINT (-122.3207627 47.6016966)
47.6131459,-122.3363027,4,traffic_signals,,POINT (-122.3363027 47.6131459)
47.6135929,-122.3351911,4,traffic_signals,,POINT (-122.3351911 47.6135929)
47.6140621,-122.3340552,5,traffic_signals,,POINT (-122.3340552 47.6140621)
47.6154593,-122.3307288,4,traffic_signals,,POINT (-122.3307288 47.6154593)
47.6171377,-122.3267787,4,traffic_signals,,POINT (-122.3267787 47.6171377)
47.6186299,-122.357391,3,traffic_signals,,POINT (-122.357391 47.6186299)
47.619083,-122.3581633,3,,,POINT (-122.3581633 47.619083)
47.602706,-122.3207699,4,,,POINT (-122.3207699 47.602706)
47.6035364,-122.3207792,4,,,POINT (-122.3207792 47.6035364)
47.6042227,-122.3207871,3,,,POINT (-122.3207871 47.6042227)
47.6045918,-122.3207915,4,traffic_signals,,POINT (-122.3207915 47.6045918)
47.6052139,-122.32079,3,traffic_signals,,POINT (-122.32079 47.6052139)
47.60621,-122.3207992,4,traffic_signals,,POINT (-122.3207992 47.60621)
47.6072341,-122.3207746,5,traffic_signals,,POINT (-122.3207746 47.6072341)
47.6092355,-122.32081,5,traffic_signals,,POINT (-122.32081 47.6092355)
47.6101221,-122.3208142,3,,,POINT (-122.3208142 47.6101221)
47.6111538,-122.3208162,4,traffic_signals,,POINT (-122.3208162 47.6111538)
47.6114582,-122.3208158,3,,,POINT (-122.3208158 47.6114582)
47.6129732,-122.3208155,4,traffic_signals,,POINT (-122.3208155 47.6129732)
47.6140904,-122.3208285,4,traffic_signals,,POINT (-122.3208285 47.6140904)
47.615259,-122.32083,4,traffic_signals,,POINT (-122.32083 47.615259)
47.6175838,-122.3208595,3,traffic_signals,,POINT (-122.3208595 47.6175838)
47.6187474,-122.3208514,4,traffic_signals,,POINT (-122.3208514 47.6187474)
47.6211011,-122.3178411,3,,,POINT (-122.3178411 47.6211011)
47.6231183,-122.3178195,4,,,POINT (-122.3178195 47.6231183)
47.6199331,-122.3182356,4,,,POINT (-122.3182356 47.6199331)
47.6210982,-122.3182459,3,,,POINT (-122.3182459 47.6210982)
47.6134905,-122.35349,1,,,POINT (-122.35349 47.6134905)
47.6008824,-122.330278,4,stop,,POINT (-122.330278 47.6008824)
47.6000427,-122.330436,4,traffic_signals,,POINT (-122.330436 47.6000427)
47.5998196,-122.3302398,3,,,POINT (-122.3302398 47.5998196)
47.5992073,-122.3302763,3,traffic_signals,,POINT (-122.3302763 47.5992073)
47.6000264,-122.3250284,3,,,POINT (-122.3250284 47.6000264)
47.5991915,-122.325034,4,traffic_signals,,POINT (-122.325034 47.5991915)
47.5983655,-122.3250394,4,stop,,POINT (-122.3250394 47.5983655)
47.5975203,-122.3250451,4,stop,,POINT (-122.3250451 47.5975203)
47.596674,-122.3250507,4,stop,,POINT (-122.3250507 47.596674)
47.6116213,-122.346496,6,traffic_signals,,POINT (-122.346496 47.6116213)
47.611953,-122.3460598,4,,,POINT (-122.3460598 47.611953)
47.6126065,-122.3452171,4,traffic_signals,,POINT (-122.3452171 47.6126065)
47.613262,-122.3443552,4,traffic_signals,,POINT (-122.3443552 47.613262)
47.6139301,-122.3435052,4,traffic_signals,,POINT (-122.3435052 47.6139301)
47.6145996,-122.3426342,4,traffic_signals,,POINT (-122.3426342 47.6145996)
47.6152145,-122.3418429,4,traffic_signals,,POINT (-122.3418429 47.6152145)
47.6159305,-122.3409072,4,traffic_signals,,POINT (-122.3409072 47.6159305)
47.6166038,-122.3400508,4,traffic_signals,,POINT (-122.3400508 47.6166038)
47.6172675,-122.3391819,4,traffic_signals,,POINT (-122.3391819 47.6172675)
