sample_id,origin,destination,neighborhood,minutes
s_001,"47.61568076576575, -122.35240447808613","47.615195746914594, -122.34974641812674",Belltown,5
s_002,"47.61845605915403, -122.3528042436529","47.616704514313454, -122.34590903496856",Belltown,10
s_003,"47.61796218826694, -122.34209592994098","47.611481286136176, -122.34291660045378",Belltown,15
s_004,"47.61699809453216, -122.35097880601674","47.61127032531023, -122.33689319940585",Belltown,20
s_005,"47.61705180022478, -122.35469064952434","47.61415611587807, -122.3373746396188",Belltown,25
s_006,"47.60937507235251, -122.33885103452909","47.611373579687736, -122.337517080431",Central Business Dist,5
s_007,"47.60745973311945, -122.33493564613322","47.612730874649216, -122.33740589750633",Central Business Dist,10
s_008,"47.603057013493185, -122.33323349434248","47.60816615871409, -122.33164467527249",Central Business Dist,15
s_009,"47.61221460825162, -122.33829520813053","47.606310387518306, -122.33037783583161",Central Business Dist,20
s_010,"47.60841704978012, -122.34107804043451","47.606640227817486, -122.32724393423173",Central Business Dist,25
s_011,"47.61991062461006, -122.3266288656976","47.62199112778489, -122.32537483182415",Capitol Hill,5
s_012,"47.61680461739271, -122.32664597753337","47.62274536051435, -122.32669401344997",Capitol Hill,10
s_013,"47.61976890115208, -122.33178449451165","47.62214645959737, -122.32673694774712",Capitol Hill,15
s_014,"47.62245143230526, -122.33185304604461","47.619885320209306, -122.32309237375695",Capitol Hill,20
s_015,"47.62192035229091, -122.31970248920769","47.608969440002255, -122.32591128724664",Capitol Hill,25
s_016,"47.608670979577326, -122.32910824957023","47.60817745614618, -122.32567472673182",First Hill,5
s_017,"47.607429457885125, -122.32786229829593","47.61188114309967, -122.32909957486856",First Hill,10
s_018,"47.60499315848221, -122.32409665793031","47.612827268205756, -122.32209569872282",First Hill,15
s_019,"47.603612172683455, -122.32907059527066","47.611753973549284, -122.3289989067105",First Hill,20
s_020,"47.616804096132775, -122.3243200171728","47.605535434065374, -122.32595103621895",First Hill,25
s_021,"47.61640340450142, -122.33573452116278","47.61416142301869, -122.33650714376927",Denny Triangle,5
s_022,"47.6179454088229, -122.34050065231051","47.61389293801168, -122.34137009201756",Denny Triangle,10
s_023,"47.62076444344834, -122.34350008401643","47.62164641824496, -122.33743080616394",Denny Triangle,15
s_024,"47.61687472160923, -122.34412033671241","47.61837456781179, -122.33063679697958",Denny Triangle,20
s_025,"47.61395017914043, -122.3455600690058","47.61817256792643, -122.32932757946564",Denny Triangle,25
s_026,"47.605595665169766, -122.32663284591284","47.604751539385994, -122.32436884974823",Yesler Terrace,5
s_027,"47.60567695776787, -122.32470560482369","47.6043602665879, -122.31798920107745",Yesler Terrace,10
s_028,"47.601675539572256, -122.32236223045786","47.60772126405411, -122.32128165733721",Yesler Terrace,15
s_029,"47.6076012123683, -122.32434085536958","47.59878776120101, -122.3229746172124",Yesler Terrace,20
s_030,"47.598171553871396, -122.33429086635323","47.60775372905848, -122.32870119863578",Yesler Terrace,25
s_031,"47.60093913582603, -122.33422438878576","47.602445198551315, -122.3321432889123",Pioneer Square,5
s_032,"47.60171220786012, -122.33559738667415","47.600040553059635, -122.32898329528872",Pioneer Square,10
s_033,"47.6053585372411, -122.33355879355356","47.59857142960769, -122.32643266154875",Pioneer Square,15
s_034,"47.60559876845709, -122.33728234237464","47.5992439723389, -122.32513254655699",Pioneer Square,20
s_035,"47.610790980574315, -122.3284985925448","47.59770421725135, -122.32756942701889",Pioneer Square,25
s_036,"47.600983205396474, -122.32796929234168","47.60096203720395, -122.3251311961969",International Dist,5
s_037,"47.6014061148133, -122.32889442948262","47.599428920836885, -122.323626014979",International Dist,10
s_038,"47.60046508796542, -122.33069759909726","47.59863578504017, -122.3203490412639",International Dist,15
s_039,"47.60397670723338, -122.33369201762576","47.597581028805514, -122.32238410410154",International Dist,20
s_040,"47.60661831361961, -122.33486074907454","47.596942975764634, -122.32235290001839",International Dist,25
s_041,"47.619754188583826, -122.3424105155603","47.62208999088581, -122.34115524171028",South Lake Union,5
s_042,"47.62322585268885, -122.33432232334499","47.619698048579735, -122.33048794153831",South Lake Union,10
s_043,"47.623824259571016, -122.34153281339462","47.61872387558523, -122.33500090498063",South Lake Union,15
s_044,"47.62080312306685, -122.33430734707562","47.61650629995986, -122.34767946583443",South Lake Union,20
s_045,"47.623575346654384, -122.32907022454368","47.61954188920577, -122.34610722651158",South Lake Union,25
s_046,"47.62210022435297, -122.3568931053078","47.62005105334053, -122.35536654950508",Queen Anne,5
s_047,"47.62149480364984, -122.3476996643672","47.61846139245819, -122.35427942113962",Queen Anne,10
s_048,"47.619594996609464, -122.34725994826444","47.62199169023087, -122.35714665165798",Queen Anne,15
s_049,"47.62137902680051, -122.34169860215144","47.61739235600661, -122.35415068897008",Queen Anne,20
s_050,"47.620526044251136, -122.35081872089745","47.609450546690134, -122.33883889317514",Queen Anne,25
s_051,"47.61126098173449, -122.33739004342127","47.609508231187526, -122.33885260054869",Pike-Market,5
s_052,"47.61202479744385, -122.33851243232121","47.60714589440602, -122.3385428033869",Pike-Market,10
s_053,"47.612642075791506, -122.33436819595794","47.60656894877916, -122.3392634692968",Pike-Market,15
s_054,"47.61423495971214, -122.33372655667004","47.6055120220138, -122.33932739173811",Pike-Market,20
s_055,"47.6072916252522, -122.32770715697805","47.61418767418708, -122.343788926027",Pike-Market,25
s_056,"47.61644786568429, -122.33310978481353","47.61562901028378, -122.3279322621499",Denny Triangle,10
