path_id,osm_ids,u,v,image_list
1,1213134204,5771925942,5771921496,"['image_4425', 'image_3572', 'image_15388', 'image_15890']"
1,1268858357,12828014348,10897695311,"['image_14089', 'image_15836', 'image_19344', 'image_20590', 'image_23864', 'image_7657']"
1,1268858357,12828014386,10897695311,"['image_14089', 'image_15836', 'image_19344', 'image_20590', 'image_22736', 'image_23864', 'image_7657']"
1,1312341370,12147022606,12146953279,"['image_9001', 'image_22185']"
1,1312341371,10699767447,5767251508,"['image_22185', 'image_24243']"
1,1312341387,10699767447,5767251528,"['image_13546', 'image_1570', 'image_28', 'image_22185', 'image_24243']"
1,307269357,12828014348,4340440487,"['image_14089', 'image_15836', 'image_16519', 'image_1925', 'image_2576', 'image_12189', 'image_9764', 'image_115', 'image_19344', 'image_20590', 'image_23864', 'image_7657', 'image_18230']"
1,608805275,5767210832,5767210831,"['image_2780', 'image_6468', 'image_9828', 'image_21209', 'image_24198']"
1,608805278,5767210832,5767210827,"['image_14258', 'image_2780', 'image_6468', 'image_12479', 'image_8589', 'image_8989', 'image_9828', 'image_10258', 'image_21209', 'image_21533', 'image_25443', 'image_24198']"
1,608810480,5767251512,5767210827,"['image_14258', 'image_12479', 'image_8589', 'image_8989', 'image_21533', 'image_25443']"
1,608810705,5767254762,5767254755,"['image_13546', 'image_12082', 'image_18797']"
1,608810712,5767254763,5767254762,"['image_13546', 'image_12082', 'image_1570', 'image_28', 'image_18797']"
1,608810713,5767254763,5767251528,"['image_13546', 'image_1570', 'image_28']"
1,609349107,5771921496,5767254755,"['image_4425', 'image_13546', 'image_3572', 'image_15388', 'image_15890', 'image_12082', 'image_18797']"
1,"[1213134204, 1213134205]",10699767478,5771925942,"['image_4425', 'image_3572', 'image_15388', 'image_15450', 'image_15890', 'image_12269', 'image_11572', 'image_9622', 'image_19949', 'image_19176']"
1,"[1312341370, 608808798]",12147022606,5767210831,"['image_2780', 'image_6468', 'image_9001', 'image_9828', 'image_24198']"
1,"[1312341384, 1312341371]",12146953279,5767251508,"['image_22185', 'image_24243']"
1,"[879215161, 1268858357]",12828014386,5767251512,"['image_14258', 'image_13516', 'image_8589', 'image_8989', 'image_9290', 'image_601', 'image_22736', 'image_21533', 'image_25443', 'image_25847']"
