path_id,zone #,osm_ids,u,v,image_list
1,1,"[1213134204, 1213134205]",10699767478,5771925942,"['image_3572', 'image_15450', 'image_12269', 'image_11572', 'image_9622', 'image_19949']"
1,1,1213134204,5771925942,5771921496,"['image_4425', 'image_3572', 'image_15388', 'image_15890']"
1,1,"[608843297, 608843301, 608843295]",5771921496,5767473736,"['image_3572', 'image_12104', 'image_22833']"
1,1,608843306,10699767469,5767473736,"['image_3572', 'image_22833']"
1,1,608843302,5767473736,5767254754,"['image_5476', 'image_8493', 'image_7191']"
1,2,608810703,5767254761,5767254754,"['image_9836', 'image_22047']"
1,2,608810709,5767254761,5767254760,"['image_9192', 'image_17170']"
1,2,608810702,5767254772,5767254760,"['image_28', 'image_1570', 'image_19571', 'image_9391']"
1,2,1150192151,12145852190,5767254772,"['image_7449', 'image_13259']"
1,2,1150192151,12145852190,5767251518,"['image_13546', 'image_1570', 'image_28', 'image_22185', 'image_24243']"
1,2,608810477,5767251519,5767251518,"['image_4103', 'image_13259', 'image_3488', 'image_15785', 'image_12186', 'image_1381', 'image_792']"
1,2,608810476,5767251519,5767251517,"['image_4103', 'image_13259', 'image_3488', 'image_2906', 'image_10937', 'image_21672', 'image_9666', 'image_1116', 'image_26163']"
1,3,"[1150890811, 450556877]",5767251512,474752590,"['image_2906', 'image_3446', 'image_9001', 'image_25122', 'image_26162', 'image_8989', 'image_12479']"
1,3,608810480,5767251512,5767210827,"['image_14258', 'image_12479', 'image_8589', 'image_8989', 'image_21533', 'image_25443']"
1,4,"[879215161, 1268858357]",12828014386,5767251512,"['image_14258', 'image_13516', 'image_8589', 'image_8989', 'image_9290', 'image_601', 'image_22736', 'image_21533', 'image_25443', 'image_25847']"
1,4,1268858357,12828014348,10897695311,"['image_14364', 'image_22736', 'image_11986', 'image_17176', 'image_19495', 'image_20590', 'image_23864', 'image_7657', 'image_19344']"
1,5,307269357,12828014348,4340440487,"['image_14089', 'image_15836', 'image_16519', 'image_1925', 'image_2576', 'image_12189', 'image_9764', 'image_115', 'image_19344', 'image_20590', 'image_23864', 'image_7657', 'image_18230']"
